category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Remanufactured Engines,Fort Lauderdale FL,Exotic Auto Services,(954) 972-6113,3560 N Powerline Rd,"Pompano Beach, FL 33069",FL,33069.0,http://exoticautoservices.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Tire Repair,San Jose CA,Goodyear Commercial Tire & Service Centers,(510) 783-6700,26569 Corporate Ave,"Hayward, CA 94545",CA,94545.0,http://goodyearctsc.com,,,no,,,,,"For commercial and off-the-road fleets, these Goodyear-owned locations offer a customized Total Solution to help reduce your operating costs.",,60,success,USA,Auto Services
Auto Repair,Memphis TN,Car Wash Service Inc,(901) 761-1619,4954 Summer Ave,"Memphis, TN 38122",TN,38122.0,http://carwashsource.com/contact,,,no,,,,,,,65,success,USA,Auto Services
Towing,San Antonio TX,United Towing,(210) 698-1897,,,,,http://unitedtowingtx.localsearch.com,,(1),no,,,,,,,50,success,USA,Auto Services
Auto Repair,Memphis TN,Orlando Auto Services Inc,(901) 666-1122,4928 Summer Ave,"Memphis, TN 38122",TN,38122.0,http://orlandoautoservicesinc.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Chicago IL,Midway Auto Clinic,(773) 581-9425,6451 S Cicero Ave,"Chicago, IL 60638",IL,60638.0,http://midwayautoclinic.localsearch.com,,36 Years,no,,,,,,,65,success,USA,Auto Services
Tire Shops,New York NY,97 New and Used Tires,(718) 424-2022,9702 Northern Blvd,"Corona, NY 11368",NY,11368.0,http://97newandusedtires.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Chicago IL,Expert Auto Centers,(773) 582-2222,5351 S Pulaski Rd,"Chicago, IL 60632",IL,60632.0,http://expertautocenters.localsearch.com,,(21),no,,,,,,,60,success,USA,Auto Services
Towing,San Antonio TX,Kars4kids Car Donation,(210) 247-4130,11795 Applewhite Rd,"San Antonio, TX 78224",TX,78224.0,http://www.kars4kids.org/lc,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Parts,Cincinnati OH,Aztec Automotive Inc,(513) 731-3304,2172 Seymour Ave,"Cincinnati, OH 45237",OH,45237.0,http://greensalescompany.com,,69 Years,no,,,,,,,65,success,USA,Auto Services
Car Stereo Systems,Los Angeles CA,REWIND The Recycled Electronic Store,(213) 273-8904,1041 N Alvarado St,"Los Angeles, CA 90026",CA,90026.0,http://www.rewindaudio.com,,16 Years,no,,,"http://instagram.com/rewindaudio, https://www.facebook.com/pages/Rewind-Audio/213813321997616",,"Vintage Hi-Fi Audio Retail & Rental in Los Angeles, CA - Rent, Buy & Sell Stereo Equipment from Rewind Audio (213) 273-8904",https://www.rewindaudio.com/uploads/4/6/9/4/46947077/______2147168_orig.png,65,success,USA,Auto Services
Auto Parts,Cincinnati OH,AAA Tire & Auto - Delhi Pike,(513) 451-6600,5020 Delhi Rd,"Cincinnati, OH 45238",OH,45238.0,https://cluballiance.aaa.com/locations/aaa-stores/DAP01/aaa-tire-and-auto-service-delhi-pike-5020-delhi-avenue-cincinnati,,,no,,,,,,https://cluballiance.aaa.com/favicon.ico,60,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,Smog Plus,(213) 386-4948,1707 Venice Blvd,"Los Angeles, CA 90006",CA,90006.0,https://www.kimsautoservice.com,,,no,,,,,,,0,timeout,USA,Auto Services
Radiator Repair,Los Angeles CA,Mario's Auto Repair,(323) 441-0903,549 N Mission Rd,"Los Angeles, CA 90033",CA,90033.0,http://mariosautorepair496386128.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Chicago IL,King Auto Repair,(773) 955-0704,1500 E 75th St,"Chicago, IL 60619",IL,60619.0,http://yellowpages.com/chicago-il/mip/king-auto-repair-16270468,,(1),no,,,,,,,50,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,A 1 Complete Auto Repair,(310) 204-3456,9930 National Blvd,"Los Angeles, CA 90034",CA,90034.0,https://a1autorepairandsmogcheck.com/contact,,13 Years,no,,"toptechfair@gmail.com, a1complete2020@gmail.com","https://www.facebook.com/A1-Complete-Auto-Repair-392887504594841/?modal=admin_todo_tour, https://www.instagram.com/a1complete_autorepair/",,,https://a1autorepairandsmogcheck.com/wp-content/uploads/2019/04/cropped-A1-32x32.jpg,75,success,USA,Auto Services
Auto Repair,Chicago IL,New Spark Auto,(773) 735-7175,4115 W 63rd St,"Chicago, IL 60629",IL,60629.0,http://newsparkauto.localsearch.com,,15 Years,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Phil Auto Tech Inc,(954) 933-2424,3341 N Dixie Hwy,"Pompano Beach, FL 33064",FL,33064.0,http://philautotechinc.localsearch.com,,61 Years,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,BMW of Downtown Los Angeles,(323) 583-1901,6333 S Alameda St,"Los Angeles, CA 90001",CA,90001.0,https://www.bmwdtla.com/?utm_source=localseo&utm_medium=organic,,,no,,brianp@carpros.com,,,"Visit BMW of Downtown Los Angeles for all of your BMW needs in Los Angeles, CA. Shop cars for sale, browse lease deals, or schedule service.",https://pictures.dealer.com/b/bmwofdowntownlosangelesbmw/1995/33602a1a231d137aabdbb7d8872be917x.jpg,70,success,USA,Auto Services
Tire Shops,New York NY,Aplus Tires Inc,(718) 402-5050,50 Bruckner Blvd,"Bronx, NY 10454",NY,10454.0,http://yellowpages.com/bronx-ny/mip/aplus-tires-inc-531388160,,,no,,,,,,,65,success,USA,Auto Services
Auto Body Shops,San Diego CA,Dent & Scratch Pro,(619) 788-3368,9585 Black Mountain Rd,"San Diego, CA 92126",CA,92126.0,https://www.dentandscratchpro.com/locations,,,no,,,,,,,0,timeout,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Denrods Auto Service,(954) 979-8556,3218 N Powerline Rd,"Pompano Beach, FL 33069",FL,33069.0,http://www.denrodsauto.com,,(1),no,,,,,,,0,timeout,USA,Auto Services
Auto Repair,Chicago IL,Quick & Fair Auto Repair,(773) 285-8500,4256 S Michigan Ave,"Chicago, IL 60653",IL,60653.0,,,,no,,,,,,,0,error,USA,Auto Services
Tire Shops,New York NY,Terry Tire Co,(201) 868-7359,515 Brandon Pl,"Cliffside Park, NJ 07010",NJ,7010.0,http://terrytireco.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Complete Auto Care,(954) 956-1650,2511 W Sample Rd,"Pompano Beach, FL 33073",FL,33073.0,https://www.firestonecompleteautocare.com/north-carolina/raleigh/4305-wake-forest-rd,,,no,,,,,,,75,success,USA,Auto Services
Auto Repair,Chicago IL,E & J Foreign Cars LTD,(872) 302-0674,4245 North Western Avenue,"Chicago, IL 60618",IL,60618.0,https://www.eandj.com,,48 Years,no,,your@email.com,https://www.facebook.com/E-J-Foreign-Cars-160183047338426/,,E & J Foreign Cars is Northside Chicago's place for car maintenance needs. Call us today at 773-588-6631 to keep your car in peak condition.,https://irp.cdn-website.com/e8ebaba5/site_favicon_16_1619622820758.ico,85,success,USA,Auto Services
Auto Body Shops,San Diego CA,2M Auto Body,(858) 536-2886,8554 Commerce Ave,"San Diego, CA 92121",CA,92121.0,http://2mautobody.localsearch.com,,22 Years,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Us1 Automobile,(754) 307-5457,4147 N Dixie Hwy,"Deerfield Beach, FL 33064",FL,33064.0,http://us1automibile.com,,16 Years,no,,,,,,,0,error,USA,Auto Services
Auto Body Shops,San Diego CA,Black Mountain Collision,(858) 549-7054,9513 Black Mountain Rd,"San Diego, CA 92126",CA,92126.0,http://www.bodynpaint.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,New York NY,Marvin's Auto Repair,(347) 461-9933,4001 New Utrecht Ave,"Brooklyn, NY 11219",NY,11219.0,http://yellowpages.com/brooklyn-ny/mip/ralph-johns-auto-reprs-2217354,,12 Years,no,,,,,,,50,success,USA,Auto Services
Towing,San Antonio TX,Stream Towing,(210) 336-8697,,,,,http://streamtowing.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Cincinnati OH,Brogan & Folz Firestone,(513) 574-3040,4511 Bridgetown Rd,"Cincinnati, OH 45211",OH,45211.0,https://www.brogantire.com/?utm_source=google&utm_medium=gmb&utm_campaign=gmb,,(1),no,,,,,,,0,timeout,USA,Auto Services
Tire Shops,New York NY,Mid Jersey Tire Co,(201) 998-8635,292 Laurel Ave,"Kearny, NJ 07032",NJ,7032.0,http://yellowpages.com/kearny-nj/mip/mid-jersey-tire-co-11993043,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Memphis TN,Chester Auto Repair,(901) 266-4727,4901 Elmore Rd,"Memphis, TN 38128",TN,38128.0,http://chesterautorepair.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Radiator Repair,Los Angeles CA,King's Auto Body,(213) 484-2233,607 S Union Ave,"Los Angeles, CA 90017",CA,90017.0,http://kingsautobody.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Radiator Repair,Los Angeles CA,Auto Repair & Service,(213) 275-3050,1212 S Flower St,"Los Angeles, CA 90015",CA,90015.0,http://autorepairservice520681221.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Repair,San Jose CA,Tire Works Total Car Care,(510) 785-4396,1957 W Winton Ave,"Hayward, CA 94545",CA,94545.0,http://www.wheelworks.net,,39 Years,no,,,,,,,65,success,USA,Auto Services
Tire Repair,San Jose CA,Rivera's Tire Shop,(510) 755-6169,2956 Baumberg Ave,"Hayward, CA 94545",CA,94545.0,https://www.riverastire.com,,,no,,,,,,,70,success,USA,Auto Services
Auto AC Repair,Chicago IL,Cool Heat,(773) 843-1704,1111 W 47th St,"Chicago, IL 60609",IL,60609.0,http://coolheatil.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Towing,San Antonio TX,Rodriguez Towing,(210) 226-5783,,,,,http://rodrigueztowing20583651.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Body Shops,San Diego CA,Royal Detailing Inc,(858) 349-4817,,"San Diego, CA 92117",CA,92117.0,http://royaldetailinginc.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Chicago IL,Above & Beyond Auto Service,(773) 530-7152,7338 S Exchange Ave,"Chicago, IL 60649",IL,60649.0,http://yellowpages.com/chicago-il/mip/king-auto-repair-16270468,,,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,Unismog,(310) 980-1817,12134 W Washington Blvd,"Los Angeles, CA 90066",CA,90066.0,,,,no,,,,,,,0,error,USA,Auto Services
Towing,San Antonio TX,Merlo's Towing,(210) 264-8490,,,,,http://merlostowing.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Tire Shops,New York NY,STS Tire & Auto Centers,(718) 649-0471,832 Pennsylvania Ave,"Brooklyn, NY 11207",NY,11207.0,http://www.ststire.com/locations/pvy/brooklyn,,,no,,,,,,,0,error,USA,Auto Services
Auto Parts,Cincinnati OH,Schneider Auto Parts,(513) 871-3004,4151 Kellogg Ave,"Cincinnati, OH 45226",OH,45226.0,http://cohenusa.com,,(1),no,,,,,,,0,timeout,USA,Auto Services
Auto Parts,Cincinnati OH,Cohen,(513) 321-3218,4538 Kellogg Ave,"Cincinnati, OH 45226",OH,45226.0,http://www.cohenusa.com,,102 Years,no,,cohenics@cohenusa.com,"https://www.facebook.com/cohenusa/, https://www.linkedin.com/company/cohen-recycling/",,"Cohen Recycling is headquartered in Middletown, Ohio, and operates a number of public and commercial metal recycling facilities throughout the Ohio Valley region.",https://www.cohenusa.com/wp-content/uploads/2021/01/favicon-1.png,75,success,USA,Auto Services
Radiator Repair,Los Angeles CA,Venice Auto Care,(213) 384-5977,101 Venice Blvd,"Los Angeles, CA 90015",CA,90015.0,http://veniceautocare.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Shops,San Diego CA,Carillo's Auto Body Shop,(619) 281-6791,3074 Adams Ave,"San Diego, CA 92116",CA,92116.0,https://www.carrillosautobody.com,,45 Years,no,,,,,,,0,error,USA,Auto Services
Auto AC Repair,Los Angeles CA,A1 Automotive services,(323) 661-7329,2485 Fletcher Dr,"Los Angeles, CA 90039",CA,90039.0,http://www.a1automotiveservices.com,,19 Years,no,,info@a1automotiveservices.com,"https://www.facebook.com/216001395085422, https://www.instagram.com/a1automotiveservices/",,"A1 Automotive Services is a Complete Auto Repair and Maintenance, Emissions System Specialist, STAR Certified Smog Check Test and Repair station.","http://img1.wsimg.com/isteam/ip/de3f27a9-b929-4b68-bbb3-bf9cc0543e38/favicon/2bfe2ed7-c511-4bc3-92bf-f932d579eafd/a03cdcbc-f136-4778-a26f-7aabfef94a61.png/:/rs=w:16,h:16,m",75,success,USA,Auto Services
Tire Repair,San Jose CA,Pro Tires,(650) 362-4398,2504 El Camino Real,"Redwood City, CA 94061",CA,94061.0,https://www.protiresrwc.com/contact,,29 Years,no,,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","https://instagram.com/wix/, http://www.facebook.com/wix",,,https://static.parastorage.com/client/pfavico.ico,65,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,Hyundai of Downtown Los Angeles,(213) 234-2141,780 W.Martin Luther King Jr. Blvd,"Los Angeles, CA 90037",CA,90037.0,https://www.hyundaioflosangeles.com,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Repair,Memphis TN,Isuzu Service Facility,(901) 387-2000,2000 Covington Pike,"Memphis, TN 38128",TN,38128.0,http://isuzuservicefacilitytn.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Tire Repair,San Jose CA,Tech Supply,(510) 783-7085,28300 Industrial Blvd Ste E,"Hayward, CA 94545",CA,94545.0,http://www.techinc.biz/locations.aspx,,46 Years,no,,,,,"Tech, Inc., Tech Supply, Danielson Equipment, Danielson Tech Supply, Tire Repair Supplies and Equipment",http://www.techinc.biz/Styles/favicon.ico,60,success,USA,Auto Services
Tire Shops,New York NY,Bandon Tire Shop,(718) 255-1158,9819 Northern Blvd,"Corona, NY 11368",NY,11368.0,http://bandontireshop.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,New York NY,brooklyn one tire shop inc,(646) 795-7850,372 avenue P,"brooklyn, NY 11204",NY,11204.0,http://brooklynonetireshopinc.localsearch.com,,13 Years,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Chicago IL,Bridgeport Transmission,(312) 842-1887,930 W 31st St,"Chicago, IL 60608",IL,60608.0,http://www.bridgeporttrans.com,,39 Years,no,,bridgeporttrans@hotmail.com,,,"Bridgeport Transmission,  our transmissions repair are done by the experts, when you a have transmission problem think Bridgeport transmissions where qualified technicians are here to handle all your automobile needs transmission repair chicago,",http://cdn.initial-website.com/favicon.ico,70,success,USA,Auto Services
Auto Repair,Chicago IL,Gateway Auto Service,(773) 596-1331,2057 W Division St,"Chicago, IL 60622",IL,60622.0,http://www.gatewayautochicago.net,,34 Years,no,,,,,,data:;,65,success,USA,Auto Services
Auto Body Shops,San Diego CA,Al's Mobile Bumper & Body Repair,(619) 665-0604,1872 Burton St,"San Diego, CA 92111",CA,92111.0,http://alsmobilerepair.com,,,no,,,,,"mobile repair services available are bumpers, dents, dings, fenders, paint, body work, scratch removal, polishing and detailing for boats, cars, trucks, rvs, motorcycles, or anything with paint. Al's mobile repair comes to you anywhere in vista, chula vista, rancho bernardo, poway, national city, la mesa, el cajon, la jolla, clairemont, mira mesa, kearny mesa, pacific beach, mission beach, ocean beach, the grater san diego area.",,60,success,USA,Auto Services
Towing,San Antonio TX,Pagaza Towing,(210) 431-3357,,,,,http://pagazatowing.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Memphis TN,A Plus Automotive,(901) 387-2390,4885 Elmore Rd,"Memphis, TN 38128",TN,38128.0,,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Memphis TN,Joy Auto Detail Shop,(901) 379-0878,2029 Covington Pike,"Memphis, TN 38128",TN,38128.0,http://yellowpages.com/memphis-tn/mip/global-mobile-detailing-507742206,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Memphis TN,Auto Surgeon,(901) 729-6287,4153 Tutwiler Ave,"Memphis, TN 38122",TN,38122.0,http://autosurgeon.yolasite.com,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Body Shops,San Diego CA,Advance Paint and Body,(619) 281-8175,4129 Sports Arena Blvd,"San Diego, CA 92110",CA,92110.0,http://advancepaintandbody.localsearch.com,,22 Years,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Chicago IL,Jaime Auto Service,(773) 582-5524,6010 S Archer Ave,"Chicago, IL 60638",IL,60638.0,https://jaimeautoservice.com,,,no,,,,,,,70,success,USA,Auto Services
Auto AC Repair,Chicago IL,Mike Anderson Chevrolet of Chicago,(877) 879-5990,5333 Irving Park Rd,"Chicago, IL 60634",IL,60634.0,https://www.mikeandersonchevychicago.com,,(38),no,,,,,,,75,success,USA,Auto Services
Auto Repair,Memphis TN,R & C Garage,(901) 443-5994,4490 Millbranch Rd,"Memphis, TN 38116",TN,38116.0,http://rcgaragetn.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Repair,San Jose CA,PRO Tires,(650) 362-4398,2966 Bay Rd Ste B,"Redwood City, CA 94063",CA,94063.0,http://protiresrwc.com,,12 Years,no,,,,,,,0,timeout,USA,Auto Services
Tire Shops,New York NY,Coney Island Tire Shop,(718) 375-1149,1921 Coney Island Ave,"Brooklyn, NY 11230",NY,11230.0,http://coneyislandtireshop.localsearch.com,,35 Years,no,,,,,,,60,success,USA,Auto Services
Tire Shops,New York NY,Mt Tire Shop Corp,(917) 618-8298,1641 Bath Ave,"Brooklyn, NY 11214",NY,11214.0,http://mttireshopcorp.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Radiator Repair,Los Angeles CA,Ace Bae Auto Repair,(323) 733-5430,316 Venice Blvd,"Los Angeles, CA 90015",CA,90015.0,http://acebaeautorepairca.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,New York NY,Ben Son Auto Services Inc,(718) 438-0378,3489 Fort Hamilton Pkwy,"Brooklyn, NY 11218",NY,11218.0,http://bensonautoservicesinc.localsearch.com,,23 Years,no,,,,,,,60,success,USA,Auto Services
Towing,San Antonio TX,Xtreme Towing,(210) 530-0754,,,,,http://xtremetowingtx.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Towing,San Antonio TX,Hernandez Towing,(210) 436-2271,,,,,http://hernandeztowingtx.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Automotive Machine Shops,San Jose CA,Sharp Dimension Inc,(510) 656-8938,42960 Osgood Rd,"Fremont, CA 94539",CA,94539.0,http://sharpdimension.com,,(1),no,,jonpinhorn.typedesign@gmail.com,"https://www.linkedin.com/company/sharp-dimension-precision-machining, https://www.instagram.com/sharpdimensionmfg, https://www.facebook.com/SharpDimension",,"We provide full manufacturing and engineering support to high technology companies that desire advanced manufacturing and assembly services.
","http://img1.wsimg.com/isteam/ip/323b1c08-0262-463e-aeb0-a7d4073eb7df/favicon/049c8e84-b3be-4b3a-b573-7cd1bde7fa09/849c88f3-6154-4ac9-bae0-848be9ceebdd.png/:/rs=w:16,h:16,m",75,success,USA,Auto Services
Auto Repair,Memphis TN,Chris Moore at Auto Next,(901) 507-1818,4954 Elmore Rd Ste 101,"Memphis, TN 38128",TN,38128.0,http://chrismooreatautonext.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Cincinnati OH,Porsche Of The Village,(513) 388-3773,4113 Plainville Rd,"Cincinnati, OH 45227",OH,45227.0,http://beechmonttoyota.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Shops,San Diego CA,SE Collision Center,(619) 260-1167,2175 Hancock St,"San Diego, CA 92110",CA,92110.0,http://www.secollisioncenter.com,,(7),no,,,,,,data:;,60,success,USA,Auto Services
Auto Parts,Cincinnati OH,Tire Discounters Headquarters,(888) 937-8473,200 W 4th St,"Cincinnati, OH 45202",OH,45202.0,http://www.tirediscounters.com/?utm_source=yext&utm_medium=listings&utm_campaign=local&y_source=1_Mzc3ODQwNi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,50 Years,no,,,"https://www.instagram.com/tirediscounters/, https://www.linkedin.com/company/tire-discounters-inc-/, https://www.facebook.com/TireDiscounters",,"Shop tires, wheels, brakes, and auto repair at Tire Discounters. FREE Alignment with 4 tires, lifetime perks, expert service & 200+ locations near you.",http://tirediscounters.com/cdn/shop/files/TD_Graphic_Favicon_256x256_1.png?crop=center&height=48&v=1761752236&width=48,65,success,USA,Auto Services
Auto Parts,Cincinnati OH,Queensgate Auto Parts,(513) 651-0090,1014 Gest St,"Cincinnati, OH 45203",OH,45203.0,https://www.napaonline.com/stores/oh/cincinnati/1014-gest-st?sdref=footer&ada=001,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Japanese Auto Care Specialists,(954) 971-5411,"5992 NW 7th St, Margate","Margate, FL 33063",FL,33063.0,http://jacsmargatefl.com,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Parts,Cincinnati OH,Andy's Mirror & Glass Inc,(513) 242-9250,5618 Center Hill Ave,"Cincinnati, OH 45216",OH,45216.0,http://www.andysmirror.com,,(2),no,,,,,,,0,timeout,USA,Auto Services
Auto AC Repair,Los Angeles CA,Western Automatic Transmission,(323) 737-5009,2461 W Washington Blvd Unit C,"Los Angeles, CA 90018",CA,90018.0,https://www.westerntransshop.com,,64 Years,no,,,,,,,0,timeout,USA,Auto Services
Tire Repair,Austin TX,Lamb's Automotive,(512) 900-3049,4241 S Congress Ave,"Austin, TX 78745",TX,78745.0,https://mcspaddenautomotive.com,,,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Chicago IL,Car Credit Center,(773) 737-7600,7600 S Western Ave,"Chicago, IL 60620",IL,60620.0,http://www.carcredit7600.com,,(15),no,,,,,,,65,success,USA,Auto Services
Tire Shops,New York NY,K & R Svce Sta Inc,(718) 459-3030,9101 Metropolitan Ave,"Rego Park, NY 11374",NY,11374.0,http://krsvcestainc.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Tire Repair,San Jose CA,AM/PM Tire Service,(510) 785-2700,1565 Industrial Pkwy W,"Hayward, CA 94544",CA,94544.0,http://ampmtireservices.com,,,no,,,,,,,0,timeout,USA,Auto Services
Towing,San Antonio TX,Stam Recovery,(210) 590-2621,,,,,http://stamrecovery.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Shops,San Diego CA,Caliber Collision,(858) 569-9633,7515 Dagget St,"San Diego, CA 92111",CA,92111.0,https://www.caliber.com/find-a-location/kearny-mesa-dagget,,,no,,dagget@CaliberCollision.com,"https://www.facebook.com/calibercollisioncenters/, https://twitter.com/CaliberAutoBody, https://www.instagram.com/calibercollision/?hl=en",,"Need a professional body shop in Kearny Mesa? Choose the auto experts at Caliber. Also serving Clairmont, Serra Mesa and nearby areas.",https://www.caliber.com/favicons/outline-bg/apple-icon-57x57.png,85,success,USA,Auto Services
Automotive Machine Shops,San Jose CA,Blytech Manufacturing,(650) 969-0287,2139 Old Middlefield Way,"Mountain View, CA 94043",CA,94043.0,,,(1),no,,,,,,,0,error,USA,Auto Services
Tire Repair,Austin TX,Davis Tire & Automotive,(512) 288-4270,9912 Highway 290 W,"Austin, TX 78736",TX,78736.0,http://www.davistireauto.com,,42 Years,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Chicago IL,Balmoral Auto Werks,(773) 907-9999,1122 W Balmoral Ave,"Chicago, IL 60640",IL,60640.0,http://balmoralautowerks.localsearch.com,,15 Years,no,,,,,,,60,success,USA,Auto Services
Radiator Repair,Los Angeles CA,Foreign & Domestic Auto Repairs,(213) 296-3073,401 S Westlake Ave,"Los Angeles, CA 90057",CA,90057.0,http://foreigndomesticautorepairs520681193.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Radiator Repair,Los Angeles CA,America Auto Repair & Tire Service,(213) 385-3329,1750 James M Wood Blvd,"Los Angeles, CA 90015",CA,90015.0,http://yellowpages.com/los-angeles-ca/mip/fix-auto-downtown-la-471908491,,,no,,,,,,,65,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,Universal Auto Center,(323) 235-1299,4360 S Vermont Ave,"Los Angeles, CA 90037",CA,90037.0,http://www.universalautocenterla.com,,21 Years,no,,,,,,,0,timeout,USA,Auto Services
Auto Repair,Chicago IL,Inc Auto Repair,(773) 549-8254,3454 N Sheffield Ave,"Chicago, IL 60657",IL,60657.0,https://iandcautorepair.com,,(1),no,,,,,,,0,timeout,USA,Auto Services
