"category","state","company_name","phone","address","city","state.1","postal_code","website","rating","reviews","sent","emailss","email","socials","ceo_name","description","avatar_url","performance_score","crawl_status","country","group","emails","phones","linkedin_url","twitter_url","facebook_url","instagram_url","meta_title","favicon_url","employee_count","founded_year","response_time_ms","crawl_error"
"Auto Glass Repair","Nashville TN","Binswanger Glass","(954) 281-1236","220 Cumberland Bnd","Nashville, TN 37228","TN",37228.0,"http://yellowpages.com/nashville-tn/mip/jack-morris-auto-glass-4182468","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2103,""
"Remanufactured Engines","Nashville TN","H & H Auto Service","(615) 754-7117","9465 Lebanon Rd","Mount Juliet, TN 37122","TN",37122.0,"http://yellowpages.com/mount-juliet-tn/mip/middle-tn-auto-transmission-specialist-462115120","","54 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2117,""
"Remanufactured Engines","Dallas TX","Auto Repair & Sales","(972) 271-5115","2921 Club Hill Dr","Garland, TX 75043","TX",75043.0,"http://autorepairsalestx.localsearch.com","","18 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2175,""
"Remanufactured Engines","Dallas TX","G & H Quality Axle","(972) 487-6815","511 S 5th St","Garland, TX 75040","TX",75040.0,"http://yellowpages.com/garland-tx/mip/firestone-complete-auto-care-480054361","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2203,""
"Remanufactured Engines","Dallas TX","Sergio's Auto Repair","(972) 494-1524","229 Austin St","Garland, TX 75040","TX",75040.0,"http://yellowpages.com/garland-tx/mip/firestone-complete-auto-care-480054361","","32 Years","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1560,""
"Oil Change","Columbus OH","Tire Kingdom","(614) 436-1303","4800 Sinclair Rd","Columbus, OH 43229","OH",43229.0,"http://yellowpages.com/columbus-oh/mip/firestone-complete-auto-care-480047167","","2 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2249,""
"Car Detailing","Tampa FL","Invictus Hand Car Wash","(813) 533-7147","6101 S Dale Mabry Hwy","Tampa, FL 33611","FL",33611.0,"http://yellowpages.com/tampa-fl/mip/mister-car-wash-16322828","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2288,""
"Auto Repair","Orlando FL","Mike Starling","(407) 894-6329","1579 Morristown Ave","Orlando, FL 32806","FL",32806.0,"http://yellowpages.com/orlando-fl/mip/whispering-palms-mobile-park-10633631","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2297,""
"Auto Glass Repair","Fort Lauderdale FL","Charlie's Auto Glass Inc","(954) 942-8700","4091 N Dixie Hwy","Deerfield Beach, FL 33064","FL",33064.0,"https://www.autoglassnow.com","","(1)","no","","writeus@autoglassnow.com","https://www.facebook.com/AutoGlassNowLLC, https://www.youtube.com/c/AutoGlassNow, https://www.instagram.com/autoglassnow/","","Looking for auto glass now? Get expert windshield replacement and repair with fast, reliable service. Quality, affordable solutions to keep you safe.","https://images.ctfassets.net/usf5bnnzzx3s/6UbtApPrbrJFsABa7miODX/c5e3af0bb7c580d1c1771b814d0e058f/download__2__2.png?w=720&h=405&q=90&fm=png",75,"success","USA","Auto Services","writeus@autoglassnow.com","","","","https://www.facebook.com/AutoGlassNowLLC","https://www.instagram.com/autoglassnow/","Windshield & Auto Glass Repair & Replacement | Auto Glass Now","https://www.autoglassnow.com/favicon.svg","",2025.0,2347,""
"Towing","Louisville KY","Coyle Transdrive","(812) 218-1132","1801 Broadway St","Clarksville, IN 47129","IN",47129.0,"http://coyletransdrive.localsearch.com","","26 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2526,""
"Auto Repair","Tampa FL","Tropicale Detailing & Auto Sales Inc.","(813) 368-2046","4138 Causeway Blvd","Tampa, FL 33619","FL",33619.0,"http://tropicaledetailingautosalesinc.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2590,""
"Car Detailing","Jacksonville FL","Caldwell Detailing","(904) 521-9633","1281 Panther Park Pkwy","Jacksonville, FL 32221","FL",32221.0,"http://caldwelldetailing.com","","","no","","contact@caldwelldetailing.com, aaron@caldwelldetailing.com","https://www.facebook.com/CaldwellDetailing19, https://www.instagram.com/caldwell_detailing","","Experience professional detailing services with Caldwell Detailing in Jacksonville, FL. Quality care for all your vehicle and boat needs. Book today!","",75,"success","USA","Auto Services","aaron@caldwelldetailing.com, contact@caldwelldetailing.com","(904) 521-9633, 904) 521-9633","","","https://www.facebook.com/CaldwellDetailing19","https://www.instagram.com/caldwell_detailing","Caldwell Detailing | Your Trusted Partner in Vehicle Care","https://caldwelldetailing.com/wp-content/uploads/2025/09/CD-caldwell-detailingBC-REV-FRT-150x150.jpg","","",2604,""
"Remanufactured Engines","Dallas TX","City Garage","(972) 530-2886","6246 N Jupiter Rd","Garland, TX 75044","TX",75044.0,"http://citygarage578270754.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2736,""
"Car Detailing","Fort Lauderdale FL","Cooper Auto Detailing","(954) 548-4833","","Fort Lauderdale, FL 33311","FL",33311.0,"http://cooperautodetailing.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2740,""
"Car Detailing","Tampa FL","Demetris Hinton","(813) 822-9009","1115 Blufield Ave","Brandon, FL 33511","FL",33511.0,"http://demetrishinton.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2750,""
"Towing","Cincinnati OH","Sora's Affordable Used Cars","(513) 576-1130","731 State Route 28","Milford, OH 45150","OH",45150.0,"http://sorasaffordableusedcars.localsearch.com","","78 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2774,""
"Car Wheels","Austin TX","Wheel Medical, PC","(512) 850-5498","2151 S Lamar Blvd","Austin, TX 78704","TX",78704.0,"https://www.wheel.com/contact-us","","","no","","support@wheel.com, press@wheel.com, info@wheel.com","https://www.linkedin.com/company/wheel-health/","","Wheel is the world’s first digital health company working behind the scenes to help companies launch and grow their telehealth services for patients nationally.","https://wheel-health.transforms.svdcdn.com/production/Wheel-Founders-2_200506_181524.jpg?w=1200&h=630&q=82&auto=format&fit=crop&dm=1588788924&s=43252ed7d11f9199146cdd70fb49e674",85,"success","USA","Auto Services","info@wheel.com, press@wheel.com, support@wheel.com","","https://www.linkedin.com/company/wheel-health/","","","","Wheel | Contact Us","https://www.wheel.com/apple-touch-icon.png","",2025.0,2768,""
"Towing","Cincinnati OH","Heritage Towing","(513) 895-9800","2062 Rolling Hills Blvd","Fairfield, OH 45014","OH",45014.0,"http://heritagetowingoh.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2822,""
"Towing","Louisville KY","Aba & Oma Towing","(502) 539-6547","","","","","https://www.abaomatowingllc.com","","","no","","alfrabold99@gmail.com","","","","",55,"success","USA","Auto Services","","","","","","","403 Forbidden","","","",2843,""
"Auto Parts","Memphis TN","Jack Morris Auto Glass","(901) 767-4242","800 Mount Moriah Rd","Memphis, TN 38117","TN",38117.0,"http://jackmorrisautoglass5947604.localsearch.com","","75 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2868,""
"Auto Parts","Memphis TN","Lkq Self Service Auto Parts","(901) 785-6666","966 W Mitchell Rd","Memphis, TN 38109","TN",38109.0,"http://www.lkqcorp.com","","(1)","no","","","","","","",45,"success","USA","Auto Services","","","","","","","Just a moment...","","","",2884,""
"Auto Glass Repair","Nashville TN","Jack Morris Auto Glass","(615) 866-2554","4403 Charlotte Ave","Nashville, TN 37209","TN",37209.0,"https://www.morrisglass.com/nashville-tn","","","no","","","https://www.facebook.com/Jack-Morris-Auto-Glass-Memphis-TN-150004951859786/, https://twitter.com/MorrisAutoGlass","","","https://www.morrisglass.com/sitefiles/2817/images/hour-hand.svg",70,"success","USA","Auto Services","","901-795-7525, 615-327-0036, 731-664-6500","","https://twitter.com/MorrisAutoGlass","https://www.facebook.com/Jack-Morris-Auto-Glass-Memphis-TN-150004951859786/","","Nashville TN","https://www.morrisglass.com/sitefiles/2817/images/favicon/favicon.ico?ckcachebust=689198374","",1951.0,2894,""
"Oil Change","Columbus OH","Lee's Auto Repair","(614) 409-8416","3027 S High St","Columbus, OH 43207","OH",43207.0,"http://leesautorepair5488202.localsearch.com","","26 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2974,""
"Towing","Los Angeles CA","Edward's Towing","(323) 928-7591","","","","","http://edwardstowing461784125.localsearch.com","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2979,""
"Auto Body Parts","Cincinnati OH","Trailines Inc","(513) 755-7900","10045 Windisch Rd","West Chester, OH 45069","OH",45069.0,"http://trailinesinc.localsearch.com","","43 Years","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2988,""
"Towing","Los Angeles CA","La One Towing Inc.","(213) 327-0791","","","","","http://laonetowinginc.localsearch.com","","(4)","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2996,""
"Tire Shops","Indianapolis IN","Llantera Pacifi Co","(317) 744-0489","6250 W 38th St","Indianapolis, IN 46254","IN",46254.0,"http://yellowpages.com/indianapolis-in/mip/tire-barn-warehouse-510320631","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",3026,""
"Remanufactured Engines","San Francisco CA","Enriques Complete Auto Repair","(510) 268-1755","2801 San Pablo Ave","Emeryville, CA 94608","CA",94608.0,"http://bureaumembers.com/enriquescompleteauto","","","no","","","","","","",0,"error","USA","Auto Services","","","","","","","","","","",0,"Cannot connect to host bureaumembers.com:80 ssl:False [getaddrinfo failed]"
"Oil Change","Cleveland OH","Westown Tire And Auto Repair","(216) 241-6806","2703 Scranton Rd","Cleveland, OH 44113","OH",44113.0,"http://www.westowntireandauto.com","","81 Years","no","","","","","","",55,"success","USA","Auto Services","","","","","","","","","","",890,""
"Auto Parts","Memphis TN","Advance Auto Parts","(901) 202-9106","6989 Stage Rd","Memphis, TN 38133","TN",38133.0,"http://www.advanceautoparts.com","","21 Years","no","","","","","","",60,"success","USA","Auto Services","","017.1768082, 1768082696, 3017.1768082696","","","","","Access Denied","","","",488,""
"Auto Body Parts","Cleveland OH","Wayne's Auto Service","(216) 433-7563","5350 W 130th St","Brookpark, OH 44142","OH",44142.0,"http://brunosautoservice.comc.ypcdn.com/2/c/rtd?vrid=4b32dzgd2n&rid=ae14f210-78a5-4192-bae3-ef8753f9b9be&ptid=4b32dzgd2n&ypid=495811728&lid=1002025901921&tl=6&lsrc=iy&dest=https%3a%2f%2fagents.allstate.com%2fpatrick-bruno-brunswick-oh.html%3fcid%3dldr-yp-cf-160615%3amlp%26campaign%3d222230000015670","","32 Years","no","","","","","","",0,"error","USA","Auto Services","","","","","","","","","","",0,"Cannot connect to host brunosautoservice.comc.ypcdn.com:80 ssl:False [getaddrinfo failed]"
"Car Detailing","Tampa FL","Bay Breeze Car Wash","(813) 884-9800","7510 N Dale Mabry Hwy","Tampa, FL 33614","FL",33614.0,"http://www.baybreezecarwash.com","","15 Years","no","","","","","","",0,"error","USA","Auto Services","","","","","","","","","","",0,"Cannot connect to host www.baybreezecarwash.com:80 ssl:False [getaddrinfo failed]"
"Remanufactured Engines","San Jose CA","Yip's Auto Repair","(408) 262-8878","1335 Minnis Cir","Milpitas, CA 95035","CA",95035.0,"http://www.556988.com","","32 Years","no","","","","","","",40,"success","USA","Auto Services","","","","","","","","","","",3705,""
"Remanufactured Engines","Seattle WA","Gateway Auto Repair","(425) 775-8501","5601 244th St SW","Mountlake Terrace, WA 98043","WA",98043.0,"http://gatewayautorepairwa.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",3902,""
"Oil Change","Indianapolis IN","Beachwood Garage","(317) 639-6405","","","","","http://beachwoodgarage4947118.localsearch.com","","43 Years","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4260,""
"Auto Repair","Tampa FL","Car Mechanics Tampa Florida","(813) 940-7337","5014 S Dale Mabry Hwy","Tampa, FL 33611","FL",33611.0,"http://carmechanicstampaflorida.localsearch.com","","20 Years","no","","","","","","",45,"success","USA","Auto Services","","7914384, 156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4406,""
"Remanufactured Engines","Dallas TX","Hammonds Brother Alt & STR SV","(972) 276-2033","509 N 5th St","Garland, TX 75040","TX",75040.0,"http://yellowpages.com/garland-tx/mip/hair-plus-14227344","","","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2005,""
"Automotive Machine Shops","Dallas TX","Injury Relief Group","(972) 551-4357","3501 Ross Ave Apt 1088","Dallas, TX 75204","TX",75204.0,"http://injuryreliefgroup.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4548,""
"Auto Body Parts","Fort Lauderdale FL","Creative Images","(954) 946-5005","1321 S Dixie Hwy W","Pompano Beach, FL 33060","FL",33060.0,"http://creativeimages506861078.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4584,""
"Used Car Parts","Miami FL","B And P Motorheads Company","(305) 687-7337","1815 Opa Locka Blvd","Opa Locka, FL 33054","FL",33054.0,"http://bandpmotorheadscompany.localsearch.com","","25 Years","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4599,""
"Towing","Los Angeles CA","Towing 24 Hour","(323) 784-9338","","","","","http://towing24hour463583143.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1835,""
"Car Detailing","Orlando FL","Jeffs Mobile Auto Detail","(407) 298-5930","","","","","http://jeffsmobileautodetailfl.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4748,""
"Auto Repair","Orlando FL","Straight Autocare","(407) 502-0980","390 N Orange Ave","Orlando, FL 32801","FL",32801.0,"http://straightautocare560593776.localsearch.com","","","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1923,""
"Towing","Chicago IL","Brothers Towing","(312) 753-9051","1238 S Troy St","Chicago, IL 60623","IL",60623.0,"http://brotherstowing.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4854,""
"Car Wheels","San Antonio TX","Express Tire Shop","(210) 520-8607","8991 Grissom Rd","San Antonio, TX 78251","TX",78251.0,"http://yellowpages.com/san-antonio-tx/mip/firestone-complete-auto-care-474728387","","(2)","no","","","","","","",50,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",2316,""
"Auto AC Repair","Chicago IL","Windy City Engine & Parts","(773) 721-4340","7700 S Stony Island Ave","Chicago, IL 60649","IL",60649.0,"http://windycityenginepartsil.localsearch.com","","(1)","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",4933,""
"Used Car Parts","Atlanta GA","U-Pull U-Save","(770) 482-5972","1826 Lithonia Industrial Blvd","Lithonia, GA 30058","GA",30058.0,"http://www.sandwauto.com","","30 Years","no","","","https://www.instagram.com/sandwautoparts/, https://www.facebook.com/SANDWAUTOMOTIVEPARTS, https://x.com/SandWUsedParts, https://www.youtube.com/@sandwautomotiveparts","","Since 1996, S&W Used Auto Parts has proudly provided customers with quality used parts, earning the reputation in Atlanta for have a large, diverse inventory selection, focused on later-model cars, trucks, vans and SUVs. We also give our customers the choice when they stop by, you can visit our full service center where we pull the engines, transmissions ahead of time for you, or we also have our U-Pull, U-Save yard, where you pull the parts and keep the savings! Check us out online or in-store!","https://static.wixstatic.com/media/5200a5_7d5e428d1476435a8d332201f0ab7de2%7Emv2.png/v1/fit/w_2500,h_1330,al_c/5200a5_7d5e428d1476435a8d332201f0ab7de2%7Emv2.png",65,"success","USA","Auto Services","example@mysite.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com","770-482-9500","","https://x.com/SandWUsedParts","https://www.facebook.com/SANDWAUTOMOTIVEPARTS","https://www.instagram.com/sandwautoparts/","S&W Automotive Parts | Quality Used Parts, Expert Service, More Ways to Save","https://static.wixstatic.com/media/5200a5_7d5e428d1476435a8d332201f0ab7de2%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/5200a5_7d5e428d1476435a8d332201f0ab7de2%7Emv2.png","",1996.0,4960,""
"Towing","Birmingham AL","ABC Towing","(205) 783-1209","","Birmingham, AL 35210","AL",35210.0,"http://abctowing480713626.localsearch.com","","(1)","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1911,""
"Car Detailing","Orlando FL","Detail Dominator Mobile Detail Service","(407) 383-4706","","","","","http://detaildominatormobiledetailservice.localsearch.com","","","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",5430,""
"Auto Repair","Tampa FL","Gregory Lane Automotive","(813) 236-1271","2415 E Sligh Ave","Tampa, FL 33610","FL",33610.0,"http://gregorylaneautomotive.localsearch.com","","25 Years","no","","","","","","",55,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1889,""
"Auto Body Parts","Fort Lauderdale FL","Ideal Collision","(954) 921-7918","2990 Simms St","Hollywood, FL 33020","FL",33020.0,"http://idealcollisionfl.localsearch.com","","48 Years","no","","","","","","",45,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",5437,""
