"name","website","state","emailee","email","descriptione","scraped_socials","ceo_name","email_status","emails","socials","ceo_name","description","avatar_url","performance_score","crawl_status"
"Bob's Roofing","http://www.bobsroofing.com","San Bernardino","","bobsroofing@verizon.net, bobsroofing@verizon.net","For all your Roofing and Handyman needs. Serving Southern California since 1978.","https://www.facebook.com/profile.php?id=61581868301981","Unknown","","bobsroofing@verizon.net, Bobsroofing@verizon.net","https://www.facebook.com/profile.php?id=61581868301981","","For all your Roofing and Handyman needs. Serving Southern California since 1978.","",65,"success"
"Aadded Value Improvements","http://www.aaddedvalue.com","Minneapolis","","","Twin City Roofing by AAdded Value has been providing the best in home remodeling and roofing in Minneapolis & Saint Paul for over 20 years","https://www.facebook.com/AaddedValue/","Unknown","","","https://www.facebook.com/AaddedValue/","","Twin City Roofing by AAdded Value has been providing the best in home remodeling and roofing in Minneapolis & Saint Paul for over 20 years","http://www.aaddedvalue.com/favicon.ico",65,"success"
"Ortiz Roofing Co.","https://www.ortizroofingco.com/composite-roofs-san-bernardino","Fontana","","","For 20 years, Ortiz Roofing provides high quality roofing installation and maintenance at great prices. Residential & Commercial. Call Now!","","Unknown","","","","","For 20 years, Ortiz Roofing provides high quality roofing installation and maintenance at great prices. Residential & Commercial. Call Now!","https://www.ortizroofingco.com/wp-content/uploads/sites/46/fbrfg/apple-touch-icon.png",70,"success"
"McAllen Valley Roofing Co","http://www.laredo-roofing.com","Laredo","","error","","","","","","https://www.facebook.com/McAllenValleyRoofingCo/","","McAllen Valley Roofing Co. is the #1 rated roofing company in Laredo, providing residential & commercial roofing services. Call 956-242-0431","https://www.laredo-roofing.com/wp-content/uploads/cropped-fav-icon-32x32.png",55,"success"
"Convert Roofing","https://convertroofing.com","Chesapeake","","contact@convertroofing.com","Looking for an expert residential Roofing Company in Virginia Beach? We offer roof repair and roof replacement in Virginia Beach, VA.","","Unknown","","contact@convertroofing.com","","","Looking for an expert residential Roofing Company in Virginia Beach? We offer roof repair and roof replacement in Virginia Beach, VA.","https://b3698776.smushcdn.com/3698776/wp-content/uploads/2024/06/cropped-convert-roofing-company-32x32.png?lossy=2&strip=0&webp=1",70,"success"
"R.C.S. Macias Roofing","http://yellowpages.com/laredo-tx/mip/aftermath-roofing-460609590","Laredo","","","","","Unknown","","","","","","",50,"success"
"Clovis Protect Your Home Roofing","http://yellowpages.com/fresno-ca/mip/on-top-roofing-14790835","Fresno","","","","","Unknown","","","","","","",50,"success"
"Macias Roofing","http://yellowpages.com/laredo-tx/mip/macias-roofing-542985725","Laredo","","","","","Unknown","","","","","","",50,"success"
"Storm Shield Roofing","http://yellowpages.com/fresno-ca/mip/on-top-roofing-14790835","Fresno","","","","","Unknown","","","","","","",50,"success"
"Interstate Roofing","http://interstateroof.com","Denver","","error","","","","","","https://twitter.com/InterstateRoof, https://instagram.com/interstate_roofingco/, https://facebook.com/interstateroof/","","Interstate Roofing is the #1 Denver roofing company and according to Contractor Magazine is ranked 6th nationwide. We provide quality roofing services for both residential and commercial flat roofing projects. For more information Call Today!","https://cdn-gjmpl.nitrocdn.com/pMdDhtQPIxfNUycwsHPVBkRhGiHFjwqL/assets/images/optimized/rev-891d651/interstateroof.com/wp-content/uploads/2022/07/cropped-cropped-interstate-fav-32x32.png",55,"success"
"JJ Flores Roofing & Construction","http://yellowpages.com/laredo-tx/mip/aftermath-roofing-460609590","Laredo","","","","","Unknown","","","","","","",50,"success"
"AED Roofing and Siding","https://www.facebook.com/Architectural-Exterior-Design-538905049484634/?fref=ts","Chesapeake","","","","","Unknown","","","","","","https://static.xx.fbcdn.net/rsrc.php/y1/r/ay1hV6OlegS.ico",50,"success"
"Ortiz Roofing Co","http://www.ortizroofingco.com","San Bernardino","","","For 20 years, Ortiz Roofing provides high quality roofing installation and maintenance at great prices. Residential & Commercial. Call Now!","","Unknown","","","","","For 20 years, Ortiz Roofing provides high quality roofing installation and maintenance at great prices. Residential & Commercial. Call Now!","http://www.ortizroofingco.com/wp-content/uploads/sites/46/fbrfg/apple-touch-icon.png",60,"success"
"Lon Smith Roofing","http://www.lonsmith.com/","Texas","","error","","","","","info@lonsmith.com","https://www.facebook.com/LonSmithRoofing, https://www.instagram.com/lonsmithroofing/?hl=en","Lon Smith","Lon Smith Roofing is a BBB A+ rated Dallas roofing company since 1974. Call 800-317-4791 for a free roof inspection from our certified Dallas roofers. Offices in Dallas and Fort Worth, TX.","https://cdn-bfpfl.nitrocdn.com/hhioYMgQzovjMwgOItsvrNeJibBjEPKW/assets/images/optimized/rev-c10e778/www.lonsmith.com/wp-content/uploads/2020/06/cropped-Favicon-32x32.png",65,"success"
"All Around Roofing and Exteriors Inc","http://www.qualitydenverroofer.com","Denver","","","","","Unknown","","","","","","http://qualitydenverroofer.com/wp-content/uploads/2025/07/Quality-Roofing-150x150.jpg",50,"success"
"Bolechowski Construction","https://bolechowski-construction.com","Minneapolis","","","Bolechowski Construction LLC is a roofing contractor / roofer serving the Minneapolis, MN area.","https://www.facebook.com/Bolechowski-Construction-LLC-1012545722106348","Unknown","","","https://www.facebook.com/Bolechowski-Construction-LLC-1012545722106348","","Bolechowski Construction LLC is a roofing contractor / roofer serving the Minneapolis, MN area.","https://bolechowski-construction.com/images/layout01/favicon.ico",75,"success"
"Jones -Tilley Roofing & Sheet Metal Co. Inc.","http://jonestilleyroofingcc.com","Texas","","error","","","","","","","","","",0,"error"
"Flat Roofs Repair","http://yellowpages.com/fort-wayne-in/mip/orr-roofing-repairs-511196","Fort Wayne","","","","","Unknown","","","","","","",60,"success"
"Blake Homes Ltd","http://www.blakehomes.co","Toledo","","blakehomes@bex.net","","","Unknown","","blakehomes@bex.net","","","","",60,"success"
"Mario's Construction and Remodeling","https://remodelerlaredo.com","Laredo","","error","","","","","","","","","",0,"error"
"Fort Wayne Golden Roofers","http://yellowpages.com/fort-wayne-in/mip/exclusive-exterior-solutions-574484314","Fort Wayne","","","","","Unknown","","","","","","",65,"success"
"T3 Roofing","http://t3roofing.com","Denver","","error","","","","","","","","","",0,"error"
"Miyako Construction & Roofing","","San Francisco","","","","","","","","","","","",0,"error"
"U N I Roofing Co","","San Francisco","","","","","","","","","","","",0,"error"
"High Quality Roofing","","San Francisco","","","","","","","","","","","",0,"error"
"Alpha Roofing Company","","San Bernardino","","","","","","","","","","","",0,"error"
"Matthew Roofing","","San Francisco","","","","","","","","","","","",0,"error"
"Cal State Roofing & Sheet Metal Co","","San Francisco","","","","","","","","","","","",0,"error"
"Bayside Roofing Construction Inc","","San Francisco","","","","","","","","","","","",0,"error"
"Rudy Solorio Roofing Inc.","http://rudysolorioroofinginc.localsearch.com","Fresno","","","","","Unknown","","","","","","",50,"success"
"Wayne Smith Roofing","http://waynesmithroofing.localsearch.com","San Bernardino","","","","","Unknown","","","","","","",65,"success"
"Integrity Quality Construction","https://www.roofing-fortwayne.com","Fort Wayne","","","","","Unknown","","","","","","",60,"success"
"Andrus Brothers Roofing Office","https://andrusbrothers.com","Texas","","","Andrus Brothers started in West Texas 40+ years ago. We’re no fly-by-night roofer, we’ve always been committed to serving our community with integrity.","https://www.instagram.com/andrusbrotherslbk/, https://www.facebook.com/AndrusBrothersRoofingTX/","Unknown","","","https://www.facebook.com/AndrusBrothersRoofingTX/, https://www.instagram.com/andrusbrotherslbk/","","Andrus Brothers started in West Texas 40+ years ago. We’re no fly-by-night roofer, we’ve always been committed to serving our community with integrity.","https://andrusbrothers.com/wp-content/uploads/2023/09/ABR_Favicon.jpg",75,"success"
"Buhler Roofing","https://buhlerroofing.com","Texas","","rbuhler1@cs.com","Buhler Roofing Company Family owned and operated in the Crossroads area for over 30 years Contact Us 1 BUHLER ROOFING COMPANY   Free Consultations Receive a free evaluation of your roof and a proposal Contact Us   Quality – Experience – Efficient Buhler Roofing Company has over 30 years of roofing experience in the Crossroads.…","https://www.facebook.com/BuhlerRoofingCompany/","Unknown","","rbuhler1@cs.com","https://www.facebook.com/BuhlerRoofingCompany/","","Buhler Roofing Company Family owned and operated in the Crossroads area for over 30 years Contact Us 1 BUHLER ROOFING COMPANY   Free Consultations Receive a free evaluation of your roof and a proposal Contact Us   Quality – Experience – Efficient Buhler Roofing Company has over 30 years of roofing experience in the Crossroads.…","https://i0.wp.com/buhlerroofing.com/wp-content/uploads/2017/07/BRC-Small-logo-1.png?fit=32%2C21&ssl=1",85,"success"
"HighPoint Roofing Co.","http://highpointroofingco551354799.localsearch.com","San Bernardino","","","","","Unknown","","","","","","",50,"success"
"Jensen Brothers Roofing","http://jensenbrothersroofing.localsearch.com","Minneapolis","","","","","Unknown","","","","","","",65,"success"
"Patchman Roofing","http://patchmanroofingca.localsearch.com","San Bernardino","","","","","Unknown","","","","","","",65,"success"
"Byrom Roofing","http://byromroofing.localsearch.com","Fresno","","","","","Unknown","","","","","","",65,"success"
"North-West Exteriors","http://northwestexteriors10627660.localsearch.com","Denver","","","","","Unknown","","","","","","",65,"success"
"On Time Roofing","http://ontimeroofingmn.localsearch.com","Minneapolis","","","","","Unknown","","","","","","",65,"success"
"Mularkey Roofing Products","http://mularkeyroofingproducts.localsearch.com","Fresno","","","","","Unknown","","","","","","",65,"success"
"S F Top Roofing Co","http://stoproofing.co","San Francisco","","sftoproofing@gmail.com, user@domain.com","","","Unknown","","sftoproofing@gmail.com, user@domain.com","","","","https://assets.squarespace.com/universal/default-favicon.ico",65,"success"
"Peters Roofing","http://www.petersroofing.com","Fresno","","jay@petersroofing.com","","","Unknown","","jay@petersroofing.com","","","","",60,"success"
"Eg Renovations","http://egrenovations.localsearch.com","Fort Wayne","","","","","Unknown","","","","","","",60,"success"
"Patriot Roofing","http://patriotroofingva.localsearch.com","Chesapeake","","","","","Unknown","","","","","","",60,"success"
"Perez Roofing","http://perezroofing472323955.localsearch.com","Laredo","","","","","Unknown","","","","","","",50,"success"
"Tri-State Exteriors: Fort Wayne Roofing Company","http://tristateexteriorsfortwayneroofingcompany.localsearch.com","Fort Wayne","","","","","Unknown","","","","","","",50,"success"
"Pettigrew & Sons Inc","http://www.manta.com/c/mmfsts2/pettigrew-sons-inc","Fort Wayne","","","","","Unknown","","","","","","",60,"success"
"AVI Roofing, Inc.","http://aviroofing.com","Denver","","error","","","","","marketing@aviroofing.com, user@domain.com","https://www.facebook.com/aviroofing/, https://www.instagram.com/aviroofing/, https://www.linkedin.com/company/avi-roofing-inc","","AVI Roofing, Inc. provides excellent roof systems, gutter systems and 
service for all your roofing needs. Since 1998, we've serviced the state of 
Colorado and its businesses, homes and communities. Call us and see why our 
clients enjoy peace of mind and reliable excellence when they choose AVI 
Roofing.","https://images.squarespace-cdn.com/content/v1/62b08e7f5b464b26b78a9bb1/00b5607d-a296-4f02-82f2-ab7f2f7593ed/favicon.ico?format=100w",75,"success"
"Spartan Construction and Roofing","https://spartan-construction.com","Texas","","inquiry.spartanconstruction@gmail.com, your@email.com","Spartan Construction and Roofing is your local general contractor based in Palo Pinto, TX. Call today and get your free estimate at 800-684-3163.","https://www.linkedin.com/in/joja-tv-9a011a167/, https://twitter.com/spartanconst?t=_VAPpFvbHU5vUrNupdhj1Q&s=03, https://www.instagram.com/spartanconstructionandroofing/","Unknown","","your@email.com, inquiry.spartanconstruction@gmail.com","https://twitter.com/spartanconst?t=_VAPpFvbHU5vUrNupdhj1Q&s=03, https://www.linkedin.com/in/joja-tv-9a011a167/, https://www.facebook.com/spartanconstructionandroofing/","","Spartan Construction and Roofing is your local general contractor based in Palo Pinto, TX. Call today and get your free estimate at 800-684-3163.","https://irp.cdn-website.com/63d56722/site_favicon_16_1690408164396.ico",95,"success"
"Klein Roofing Laredo","http://kleinroofinglaredo.localsearch.com","Laredo","","","","","Unknown","","","","","","",50,"success"
"Denver Roofing Inc","http://www.bestdenverroofingcompany.com","Denver","","email@example.com","","","Unknown","","email@example.com","","","","",60,"success"
"Alpha & Omega Siding & Windows, L.L.C","http://www.alphaomegasiding.com","Texas","","error","","","","","manuel@alphaomegasiding.com, your@email.com","https://www.facebook.com/alphaomegasiding/","","Let Alpha & Omega Siding & Windows L.L.C. take care of your remodeling project needs in Corpus Christi, TX. Reach us at (361) 510-6181 for details.","https://irp.cdn-website.com/4a76ad81/site_favicon_16_1619642170479.ico",75,"success"
"SL Construction","http://www.roofingandremodelingin.com","Fort Wayne","","your@email.com, slconstructionllc@gmail.com","SL Construction provides top-rated roofing in Fort Wayne, IN, including roof repair and replacement. Contact SL Construction now at (260) 385-4250!","https://www.facebook.com/SL-Construction-Roofing-Remodeling-268287360006067/?ref=page_internal&path=%2FSL-Construction-Roofing-Remodeling-268287360006067%2F, https://facebook.com/SL-Construction-Roofing-Remodeling-268287360006067","Unknown","","slconstructionllc@gmail.com, your@email.com","https://facebook.com/SL-Construction-Roofing-Remodeling-268287360006067, https://www.facebook.com/SL-Construction-Roofing-Remodeling-268287360006067/?ref=page_internal&path=%2FSL-Construction-Roofing-Remodeling-268287360006067%2F","","SL Construction provides top-rated roofing in Fort Wayne, IN, including roof repair and replacement. Contact SL Construction now at (260) 385-4250!","https://irp.cdn-website.com/db3930f0/site_favicon_16_1670603536349.ico",65,"success"
"Rocky Mtn Roofing and Restoration","https://www.rockymountainroofing.com/contact","Denver","","info@rkymtnroofing.com, edith@rockymountainroofing.com, info@rockymountainroofing.com","Rocky Mountain Roofing & Restoration is proudly partnered with Atlas Roofing. They have been in the industry for over 35+ years and have developed and provided quality roofing products as one of roofers top choices! When installing a new roof we use Atlas to insure that your roof will protect your home for a long time.","https://www.facebook.com/RockyMountainRoofingAndRestoration/","Unknown","","info@rockymountainroofing.com, edith@rockymountainroofing.com, content_library.global.email.info@rockymountainroofing.com","https://www.facebook.com/RockyMountainRoofingAndRestoration/","","Rocky Mountain Roofing & Restoration is proudly partnered with Atlas Roofing. They have been in the industry for over 35+ years and have developed and provided quality roofing products as one of roofers top choices! When installing a new roof we use Atlas to insure that your roof will protect your home for a long time.","https://irp.cdn-website.com/bd7ee1b8/dms3rep/multi/rmrr-logo-345w.png",85,"success"
"Ortegon Roofing Inc","http://www.joelortegonroofing.net","Laredo","","error","","","","","","","","","",0,"error"
"Metro Construction","http://www.mymetroconstruction.com","Denver","","error","","","","","","","","","http://www.mymetroconstruction.com/wp-content/uploads/2020/03/Metro_logo.png",50,"success"
"BBB of Northwest Ohio and Southeast Michigan","http://www.bbb.org","Toledo","","","BBB helps consumers and businesses in the United States and Canada. Find trusted BBB Accredited Businesses. Get BBB Accredited. File a complaint, leave a review, report a scam.","https://www.facebook.com/BetterBusinessBureau, https://www.linkedin.com/company/better-business-bureau/, https://www.instagram.com/betterbusinessbureau_/","Unknown","","","https://www.linkedin.com/company/better-business-bureau/, https://www.facebook.com/BetterBusinessBureau, https://www.instagram.com/betterbusinessbureau_/","","BBB helps consumers and businesses in the United States and Canada. Find trusted BBB Accredited Businesses. Get BBB Accredited. File a complaint, leave a review, report a scam.","http://www.bbb.org/favicon.ico",65,"success"
"Area Roofing Co","http://www.arearoofingco.com","Texas","","your@email.com, arearoofing@yahoo.com","Area Roofing Co. offers the best in roofing service for homes including installation and emergency repairs in Corpus Christi, Texas. Also Serving Port Aransas TX, Aransas Pass TX, Portland TX, George West TX and Three Rivers TX. Call today for a quote!","https://www.facebook.com/Area-Roofing-Co-110161207798349/","Unknown","","arearoofing@yahoo.com, your@email.com","https://www.facebook.com/Area-Roofing-Co-110161207798349/","","Area Roofing Co. offers the best in roofing service for homes including installation and emergency repairs in Corpus Christi, Texas. Also Serving Port Aransas TX, Aransas Pass TX, Portland TX, George West TX and Three Rivers TX. Call today for a quote!","https://irp.cdn-website.com/e99b1e52/site_favicon_16_1619640091164.ico",75,"success"
"Kustom Kolor Painting","http://kustomcolorpainting.com","Fort Wayne","","kustomcolorllc@gmail.com","260-414-6100 – Over 60 years of combined experience. High-quality products. 15% off paint prices for all customers! Painting. Siding. Power washing.","https://www.facebook.com/Kustom-Kolor-Painting-1801667790100510, https://twitter.com/KolorKustom","Unknown","","kustomcolorllc@gmail.com","https://twitter.com/KolorKustom, https://www.facebook.com/Kustom-Kolor-Painting-1801667790100510","","260-414-6100 – Over 60 years of combined experience. High-quality products. 15% off paint prices for all customers! Painting. Siding. Power washing.","https://static-res-cdn.websites.hibu.com/runtime/favicon_d1_res.ico",75,"success"
"Salina's Roofing and Siding","http://www.dantachase.com","Toledo","","","","","Unknown","","","","","","",50,"success"
"Cloverdale Roofing","","San Francisco","","","","","","","","","","","",0,"error"
"Sb Roofing Inc","http://www.sbroofing.com","Chesapeake","","scott@sbroofing.com","Don't just replace your roof. Get a Roof System Solution for effective shingles and leak barriers. Call (757) 785-9937!","http://www.facebook.com/sbroofing","Unknown","","scott@sbroofing.com","http://www.facebook.com/sbroofing","","Don't just replace your roof. Get a Roof System Solution for effective shingles and leak barriers. Call (757) 785-9937!","http://www.sbroofing.com/favicon.ico",75,"success"
"Allstate Roofing","http://www.allstateroofingcompany.com","Fresno","","allstateroofingincfresno@yahoo.com","Contact Allstate Roofing Inc. in Fresno, CA today for more Roofing Service information. Call 559-325-2286","https://facebook.com/Allstate-Roofing-546500418832382, https://instagram.com/allstateroofers","Unknown","","allstateroofingincfresno@yahoo.com","https://instagram.com/allstateroofers, https://facebook.com/Allstate-Roofing-546500418832382","","Contact Allstate Roofing Inc. in Fresno, CA today for more Roofing Service information. Call 559-325-2286","https://irp.cdn-website.com/0e72d0fbf9154641b8cf3a61ebcb0534/site_favicon_16_1619642358815.ico",75,"success"
"All Seasons Roofing","http://allseasonsroofing474518469.localsearch.com","Fresno","","","","","Unknown","","","","","","",50,"success"
"B A C Construction","http://bacconstructionmn.localsearch.com","Minneapolis","","","","","Unknown","","","","","","",50,"success"
"Builder Tech Wholesale","http://buildertechwholesaleoh.localsearch.com","Toledo","","","","","Unknown","","","","","","",50,"success"
