category,city,company,phone,street,locality,state,zip,website,rating,reviews,sent,email
Auto Parts,New York NY,Mer's Auto Parts,(718) 387-6246,248 Grand St,"Brooklyn, NY 11211",NY,11211,http://mersautoparts.localsearch.com,,,no,
Auto Parts,New York NY,Ready Tow,(917) 595-4169,10 W 66th St,"New York, NY 10023",NY,10023,http://yellowpages.com/new-york-ny/mip/ready-tow-4190645,,,no,
Auto Parts,New York NY,A & A Precision Transmissions,(646) 307-4327,639 11th Ave,"New York, NY 10036",NY,10036,http://aaprecisiontransmissions.localsearch.com,,,no,
Auto Parts,New York NY,Old World Automotive Prods Inc,(212) 874-0975,255 W 90th St,"New York, NY 10024",NY,10024,http://oldworldautomotiveprodsinc.localsearch.com,,,no,
Auto Parts,New York NY,Choi Sam,(212) 426-5778,246 E 125th St,"New York, NY 10035",NY,10035,http://choisam.localsearch.com,,,no,
Auto Parts,New York NY,Highbridge Auto Parts Inc,(212) 927-0500,2400 Amsterdam Ave,"New York, NY 10033",NY,10033,http://highbridgeautopartsinc.localsearch.com,,,no,
Auto Parts,New York NY,B And G Auto Parts,(212) 304-0991,255 Dyckman St,"New York, NY 10034",NY,10034,http://bandgautoparts.localsearch.com,,,no,
Auto Parts,New York NY,Park-44 Corp,(212) 787-0334,44 W 77th St,"New York, NY 10024",NY,10024,http://yellowpages.com/new-york-ny/mip/park-44-corp-1199165,,34 Years,no,
Auto Parts,New York NY,Gen X Autobody Parts Inc,(718) 888-8874,14 W 128th St,"New York, NY 10027",NY,10027,http://yellowpages.com/new-york-ny/mip/gen-x-autobody-parts-inc-466513085,,,no,
Auto Parts,New York NY,Caribe Auto Parts,(800) 338-7247,1592 Amsterdam Ave,"New York, NY 10031",NY,10031,http://caribeautoparts.localsearch.com,,,no,
Auto Parts,New York NY,Kvy Auto Parts Inc,(212) 544-0090,3966 10th Ave,"New York, NY 10034",NY,10034,http://kvyautopartsinc.localsearch.com,,16 Years,no,
Auto Parts,New York NY,Pep Boys Auto Service & Tire,(201) 420-6866,410 Marin Blvd,"Jersey City, NJ 07302",NJ,07302,http://www.pepboys.com,,,no,
Auto Parts,New York NY,Bayridge Auto Fordham Toyota,(212) 862-9622,235 W 154th St,"New York, NY 10039",NY,10039,http://www.fordhamtoyota.com,,,no,
Auto Parts,New York NY,US Trading,(718) 821-3141,57 W 38th St,"New York, NY 10018",NY,10018,http://www.hessen-trade-and-invest.com,,,no,
Auto Parts,New York NY,DMP Company Inc,(212) 564-5275,447 10th Ave Frnt 1,"New York, NY 10001",NY,10001,http://dmpcompanyinc.localsearch.com,,37 Years,no,
Auto Parts,New York NY,Afco,(212) 401-4400,14 Wall St Ste 8A19,"New York, NY 10005",NY,10005,https://afco.com,,,no,
Auto Parts,New York NY,EQUIPMENT & PARTS EXPORT INC,(212) 997-2505,817 Broadway,"New York, NY 10003",NY,10003,http://equipmentpartsexportinc.localsearch.com,,,no,
Auto Parts,New York NY,Rs Property,(212) 868-7078,347 5th Ave Rm 1408,"New York, NY 10016",NY,10016,http://rspropertyny.localsearch.com,,,no,
Auto Parts,New York NY,Napa Auto Parts,(212) 722-3989,1 Randalls Is,"New York, NY 10035",NY,10035,http://www.napaonline.com,,,no,
Auto Parts,New York NY,Big City Auto Parts Inc,(212) 368-8781,3251 Broadway,"New York, NY 10027",NY,10027,http://bigcityautopartsinc.localsearch.com,,,no,
Auto Parts,New York NY,nyc auto parts inc,(212) 947-4900,521 W 38th St,"new york, NY 10018",NY,10018,http://nycautopartsincny.localsearch.com,,(1),no,
Auto Parts,New York NY,Ferrari New York Showroom and Ferrari Store,(212) 593-2080,410 Park Ave,"New York, NY 10022",NY,10022,http://www.ferraristore.com,,,no,
Auto Parts,New York NY,Dave's Auto Parts & Accessories,(201) 792-9721,301 Newark St,"Hoboken, NJ 07030",NJ,07030,,,(2),no,
Auto Parts,New York NY,"4 Fishes, Inc.",(212) 860-3300,306 E 106th St,"New York, NY 10029",NY,10029,http://4fishesinc.localsearch.com,,,no,
Auto Parts,New York NY,El Camino Auto Parts Inc,(212) 942-8266,3860 10th Ave,"New York, NY 10034",NY,10034,https://www.elcaminoautoparts.com,,29 Years,no,
Auto Parts,New York NY,United Power Sunroof Inc,(212) 307-5529,535 W 46th St,"New York, NY 10036",NY,10036,http://unitedpowersunroofinc.localsearch.com,,,no,
Auto Parts,New York NY,Curtis Automotive Corp,(212) 247-6523,515 W 56th St,"New York, NY 10019",NY,10019,http://curtisautomotivecorp.localsearch.com,,,no,
Auto Parts,New York NY,Marlon Auto Parts,(212) 549-2424,2403 2nd Ave,"New York, NY 10035",NY,10035,http://marlonautoparts.localsearch.com,,,no,
Auto Parts,New York NY,The Mister Auto Parts Inc,(212) 795-9596,2332 Amsterdam Ave,"New York, NY 10033",NY,10033,http://themisterautopartsinc.localsearch.com,,,no,
Auto Parts,New York NY,NAPA Auto Parts,(212) 348-0464,252 E 125th St,"New York, NY 10035",NY,10035,,,69 Years,no,
Auto Parts,New York NY,Advance Auto Parts,(201) 616-7549,428 Grand St,"Jersey City, NJ 07302",NJ,07302,https://stores.advanceautoparts.com/nj/jersey-city/428-grand-st?utm_medium=local&utm_source=yext&utm_content=listing-2016-12-29&utm_campaign=aap,,,no,
Auto Parts,New York NY,Auto Care East,(212) 988-1515,243 E 94th St,"New York, NY 10128",NY,10128,http://www.autocareeast.com,,(69),no,
Auto Parts,New York NY,Auto Care East Repair,(646) 237-1466,121 E Broadway,"New York, NY 10002",NY,10002,http://autocareeastrepair.localsearch.com,,,no,
Auto Parts,New York NY,Sears Auto Center,(201) 420-5395,50 Mall Dr W,"Jersey City, NJ 07310",NJ,07310,https://www.searsauto.com,,(2),no,
Auto Parts,New York NY,Cibao Auto Repair Corp,(212) 353-9996,185 E 109th St,"New York, NY 10029",NY,10029,,,(3),no,
Auto Parts,New York NY,Manhattan Alignment & Diagnostic Center,(212) 281-0300,555 W 131st St,"New York, NY 10027",NY,10027,http://www.manhattanalignment.com,,(1),no,
Auto Parts,New York NY,Raz Auto Service Inc,(718) 209-1824,606 W 47th St,"New York, NY 10036",NY,10036,http://razautoserviceinc.localsearch.com,,(1),no,
Auto Parts,New York NY,Chrysler Dodge Ram FIAT of Manhattan,(212) 549-2208,678 11th Ave,"New York, NY 10019",NY,10019,https://nycjeep.com,,5 Years,no,
Auto Parts,New York NY,54th. Street Auto Care,(212) 265-3120,415 W 54th St,"New York, NY 10019",NY,10019,https://www.54thstreetauto.com,,39 Years,no,
Auto Parts,New York NY,Jaguar Manhattan,(212) 459-9400,787 11th Ave,"New York, NY 10019",NY,10019,http://www.jaguarmanhattan.com,,66 Years,no,
Auto Parts,New York NY,Subaru NYC,(888) 692-3161,45 E 4th St,"New York, NY 10003",NY,10003,http://subarunyc.localsearch.com,,,no,
Auto Parts,New York NY,Toyota of Manhattan,(646) 609-9121,679 11th Ave,"New York, NY 10019",NY,10019,https://www.toyotaofmanhattan.com,,3 Years,no,
Auto Parts,New York NY,Lexus of Manhattan,(347) 325-9400,679 11th Ave,"New York, NY 10019",NY,10019,https://www.lexusofmanhattan.com,,,no,
Auto Parts,New York NY,Halbro Electric Corporation,(212) 265-7793,853 7th Ave,"New York, NY 10019",NY,10019,http://yellowpages.com/new-york-ny/mip/consolidated-electric-meter-co-inc-468508306,,,no,
Auto Parts,New York NY,Land Rover Manhattan,(212) 549-2203,787 11th Ave,"New York, NY 10019",NY,10019,http://www.jlrmanhattan.com,,,no,
Auto Parts,New York NY,Manhattan Volvo,(888) 350-6432,787 11th Ave,"New York, NY 10019",NY,10019,http://www.manhattanvolvo.com,,66 Years,no,
Auto Parts,New York NY,Potamkin GM Certified Service Center,(212) 399-4400,2485 2nd Ave,"New York, NY 10035",NY,10035,http://www.potamkinnyc.com/Service,,,no,
Auto Parts,New York NY,Potamkin Auto Group Service & Parts,(212) 603-7200,2495 2nd Ave,"New York, NY 10035",NY,10035,http://potamkinautogroupserviceparts.localsearch.com,,,no,
Auto Parts,New York NY,JM Roadside Rescue,(347) 943-6186,201 W 144th St,"New York, NY 10030",NY,10030,https://www.jmroadsiderescueservice.com,,,no,
Auto Parts,New York NY,Joe's Auto Electric,(201) 435-7035,41 Maxwell St,"Jersey City, NJ 07302",NJ,07302,http://www.joesautoelectric.weebly.com,,,no,
Auto Parts,New York NY,Midtown Automotive,(212) 989-5999,438 W 18th St,"New York, NY 10011",NY,10011,http://midtownautomotiveny.localsearch.com,,,no,
Auto Parts,New York NY,Towing AA,(917) 595-3593,581 Hudson St,"New York, NY 10014",NY,10014,http://towingaa483745417.localsearch.com,,,no,
Auto Parts,New York NY,96th St Towing & Auto Repair,(917) 522-0992,70 W 95th St,"New York, NY 10025",NY,10025,http://96thsttowingautorepair.localsearch.com,,,no,
Auto Parts,New York NY,Sumitomo Cor of America,(212) 232-5760,25 Broadway Frnt,"New York, NY 10004",NY,10004,http://yellowpages.com/new-york-ny/mip/intesa-sanpaolo-4188598,,,no,
Auto Parts,New York NY,Joe's Auto Locks,(212) 460-9188,11 2nd Ave,"New York, NY 10003",NY,10003,http://joesautolocks.localsearch.com,,,no,
Auto Parts,New York NY,Daves Electric Motor Co,(212) 242-2513,181 Avenue A,"New York, NY 10009",NY,10009,http://daveselectricmotorco.localsearch.com,,,no,
Auto Parts,New York NY,Shri's Local Company 2,(724) 448-3395,47 W 13th St,"New York, NY 10011",NY,10011,http://shrislocalcompany2.localsearch.com,,,no,
Auto Parts,New York NY,Halbro Electric Corp,(212) 265-7793,631 E 11th St Apt B,"New York, NY 10009",NY,10009,http://halbroelectriccorpny.localsearch.com,,,no,
Auto Parts,New York NY,ABC Auto Repair,(212) 604-9801,422 W 15th St,"New York, NY 10011",NY,10011,http://abcautorepairny.localsearch.com,,,no,
Auto Parts,New York NY,Abca Car Repair 24 Hr,(646) 237-1130,421 E 23rd St,"New York, NY 10010",NY,10010,http://yellowpages.com/new-york-ny/mip/abca-car-repair-24-hr-1904097,,,no,
Auto Parts,New York NY,Auto Car West,(646) 216-7956,12 Park Ave,"New York, NY 10016",NY,10016,http://yellowpages.com/new-york-ny/mip/auto-car-west-451319085,,,no,
Auto Parts,New York NY,Midtown Chelsea Center,(212) 645-1059,613 11th Ave,"New York, NY 10036",NY,10036,http://midtownchelseacenter.localsearch.com,,,no,
Auto Parts,New York NY,NASCAR Inc,(212) 702-0260,65 E 55th St Fl 36,"New York, NY 10022",NY,10022,http://nascar.com,,,no,
Auto Parts,New York NY,Spot & Co of Manhattan Inc,(212) 262-3355,Spotco,"New York, NY 10019",NY,10019,https://www.spotco.com,,26 Years,no,
Auto Parts,New York NY,Midas Auto Service Experts,(212) 582-7088,455 W 53rd St,"New York, NY 10019",NY,10019,https://www.midas.com,,,no,
Auto Parts,New York NY,Toyota Financial Service,(212) 421-0039,9 W 57th St,"New York, NY 10019",NY,10019,http://yellowpages.com/new-york-ny/mip/potamkin-chevrolet-buick-gmc-cadillac-450762574,,43 Years,no,
Auto Parts,New York NY,Infiniti Dealership,(212) 549-2220,748 11th Ave,"New York, NY 10019",NY,10019,http://infinitidealership525582257.localsearch.com,,,no,
Auto Parts,New York NY,"Mercedes-Benz Manhattan, Inc",(212) 629-1600,770 11th Ave,"New York, NY 10019",NY,10019,http://www.mbmanhattan.com,,,no,
Auto Parts,New York NY,BMW of Mannahattan Service,(212) 586-2269,555 W 57th St,"New York, NY 10019",NY,10019,https://www.bmwnyc.com,,,no,
Auto Parts,New York NY,Automotive A,(917) 595-4201,355 E 72nd St,"New York, NY 10021",NY,10021,http://yellowpages.com/new-york-ny/mip/automotive-a-626864,,,no,
Auto Parts,New York NY,Bps Recovery Automotive,(212) 600-5235,215 E 73rd St,"New York, NY 10021",NY,10021,http://bpsrecoveryautomotive.localsearch.com,,,no,
Auto Parts,New York NY,Classic Car Club Manhattan,(212) 229-2402,1 W 76th St,"New York, NY 10023",NY,10023,https://classiccarclubmanhattan.com,,,no,
Auto Parts,New York NY,United Auto Repair,(212) 744-0615,236 E 83rd St,"New York, NY 10028",NY,10028,http://unitedautorepairny.localsearch.com,,,no,
Auto Parts,New York NY,Nyc Auto Repair & Towing,(212) 678-9100,412 W 126th St,"New York, NY 10027",NY,10027,http://nycautorepairtowing.localsearch.com,,,no,
Auto Parts,New York NY,Bear Auto Repair Corp,(212) 304-4405,400 W 202nd St,"New York, NY 10034",NY,10034,http://bearautorepaircorp.localsearch.com,,22 Years,no,
Auto Parts,New York NY,Zion Auto Inc,(718) 624-6117,62 Penn St,"Brooklyn, NY 11249",NY,11249,http://zionautoinc.localsearch.com,,37 Years,no,
Auto Parts,New York NY,Texaseasterntr Ansmissions,(201) 963-3901,321 17th St,"Jersey City, NJ 07310",NJ,07310,http://yellowpages.com/nationwide/mip/aamco-transmission-total-car-care-553314879,,,no,
Auto Parts,New York NY,Midas Auto Service Experts,(212) 722-2345,223 E 125th St,"New York, NY 10035",NY,10035,http://www.midas.com,,(1),no,
Auto Parts,New York NY,Total Care Towings Repair,(917) 210-5401,156 W 86th St,"New York, NY 10024",NY,10024,http://yellowpages.com/new-york-ny/mip/total-care-towings-repair-462449318,,,no,
Auto Parts,New York NY,Mercedes-Benz Manhattan Inc,(212) 629-1600,536 W 41st St,"New York, NY 10036",NY,10036,http://mbmanhattan.com,,(2),no,
Auto Parts,New York NY,Atlas Auto Transmission,(646) 237-1525,1220 Broadway Fl 9,"New York, NY 10001",NY,10001,http://yellowpages.com/new-york-ny/mip/atlas-auto-transmission-4893010,,,no,
Auto Parts,New York NY,V Race Works,(347) 431-9154,4712 Broadway,"New York, NY 10040",NY,10040,http://www.vraceworks.com,,16 Years,no,
Auto Parts,New York NY,Rapid 24 Hour Transmissions,(646) 237-1387,137 Delancey St,"New York, NY 10002",NY,10002,http://rapid24hourtransmissions.localsearch.com,,,no,
Auto Parts,New York NY,Janssen Boas,(212) 274-0290,14 E 44th St Fl 5,"New York, NY 10017",NY,10017,http://yellowpages.com/new-york-ny/mip/janssen-boas-598079,,,no,
Auto Parts,New York NY,Potamkin Chevrolet Buick GMC Cadillac,(212) 399-4400,706 11th Ave,"New York, NY 10019",NY,10019,http://www.potamkincadillac.com,,(5),no,
Auto Parts,New York NY,Collision Capital Group Inc,(212) 239-1360,270 11th Ave,"New York, NY 10001",NY,10001,http://collisioncapitalgroupinc.localsearch.com,,,no,
Auto Parts,New York NY,I Salvage Com,(212) 417-9330,330 W 38th St Rm 1207,"New York, NY 10018",NY,10018,http://yellowpages.com/new-york-ny/mip/i-salvage-com-14636041,,27 Years,no,
Auto Parts,New York NY,Exim Group,(212) 207-3330,866 United Nations Plz,"New York, NY 10017",NY,10017,,,30 Years,no,
Auto Parts,New York NY,Northside Industries,(718) 384-2690,119 N 11th St,"Brooklyn, NY 11249",NY,11249,http://yellowpages.com/brooklyn-ny/mip/northside-industries-495392970,,,no,
Auto Parts,New York NY,Firestone Complete Auto Care,(800) 364-4314,,,,,http://www.firestonecompleteautocare.com/repair/services.jsp?lw_cmp=IYP_YPC_PL_Parts,,(40),no,
Auto Parts,New York NY,Firestone Complete Auto Care,(201) 204-9668,70 State Hwy,"Jersey City, NJ 07306",NJ,07306,https://www.firestonecompleteautocare.com/new-jersey/jersey-city/70-nj-139/?lw_cmp=IYP_YPC_MLP_22489,,100 Years,no,
Auto Parts,New York NY,M & L Engine,(888) 482-9503,,,,,http://www.mlengine.com,,49 Years,no,
Auto Parts,New York NY,AAMCO Transmissions & Total Car Care,(800) 984-1514,,,,,http://aamcotransmissionstotalcarcare559956319.localsearch.com,,(2),no,
Auto Parts,New York NY,Queens Plaza,(718) 383-7093,2719 44th Dr,"Long Island City, NY 11101",NY,11101,http://queensplaza.localsearch.com,,,no,
Auto Parts,New York NY,Pep Boys Auto Service & Tire,(718) 784-1414,3850 21st St,"Long Island City, NY 11101",NY,11101,http://www.pepboys.com,,,no,
Auto Parts,New York NY,Rene's Used Auto Parts,(201) 333-8810,846 Garfield Ave,"Jersey City, NJ 07305",NJ,07305,http://renesusedautoparts.localsearch.com,,20 Years,no,
Auto Parts,New York NY,J & M Auto Supply Corp,(718) 729-2626,4105 37th St,"Long Island City, NY 11101",NY,11101,http://yellowpages.com/long-island-city-ny/mip/queens-plaza-544146,,,no,
Auto Parts,New York NY,Parts Express II,(718) 768-6100,29 15th St,"Brooklyn, NY 11215",NY,11215,http://yellowpages.com/brooklyn-ny/mip/parts-express-ii-451368618,,,no,
Auto Parts,New York NY,K M Driveline Inc,(718) 599-0622,966 Grand St,"Brooklyn, NY 11211",NY,11211,http://www.kmdriveline.com,,35 Years,no,
Auto Parts,New York NY,Jead Auto Supply Corp,(718) 436-7665,560 19th St,"Brooklyn, NY 11218",NY,11218,http://jeadautosupplycorp.localsearch.com,,29 Years,no,
Auto Parts,New York NY,New Town Auto Parts,(718) 599-6655,1074 Grand St,"Brooklyn, NY 11211",NY,11211,http://newtownautoparts.localsearch.com,,,no,
Auto Parts,New York NY,38 09 43 Av,(718) 349-2683,3809 43rd Ave,"Long Island City, NY 11101",NY,11101,http://380943av.localsearch.com,,,no,
Auto Parts,New York NY,Napa Auto Parts - Joes Auto Parts,(718) 965-2220,797 4th Ave,"Brooklyn, NY 11232",NY,11232,http://www.napaonline.com,,76 Years,no,
Auto Parts,New York NY,AutoZone Auto Parts,(201) 521-0056,629 Communipaw Ave,"Jersey City, NJ 07304",NJ,07304,https://www.autozone.com/locations/nj/jersey-city/629-communipaw-ave.html,,47 Years,no,
Auto Parts,New York NY,Accurate Auto Glass & Mirror,(718) 416-1600,5000 Grand Ave,"Maspeth, NY 11378",NY,11378,,,(4),no,
Auto Parts,New York NY,F H Group International,(201) 210-2426,245 Secaucus Rd,"Secaucus, NJ 07094",NJ,07094,http://www.fhgroupauto.com,,(4),no,
Auto Parts,New York NY,Every Auto Parts,(646) 649-2668,,,,,http://everyautoparts.localsearch.com,,(3),no,
Auto Parts,New York NY,Napa Auto Parts - P M Auto Parts,(718) 383-2408,1036 Manhattan Ave,"Brooklyn, NY 11222",NY,11222,http://www.napaonline.com,,(4),no,
Auto Parts,New York NY,PM Auto Parts,(718) 383-2408,201 Mcguinness Blvd,"Brooklyn, NY 11222",NY,11222,https://www.napaonline.com/stores/ny/brooklyn/201-mcguinness-blvd,,(2),no,
Auto Parts,New York NY,TMT Tire,(718) 729-3500,4115 Northern Blvd,"Long Island City, NY 11101",NY,11101,http://www.tmttire.net,,(1),no,
Auto Parts,New York NY,New & Used Discount Auto Glass,(866) 314-0232,10 Troutman St,"Brooklyn, NY 11206",NY,11206,http://bklynglass.wix.com/discountautoglass,,(1),no,
Auto Parts,New York NY,Downtown Ronnie Auto Inc,(718) 369-7496,4001 2nd Ave,"Brooklyn, NY 11232",NY,11232,http://ronniesautomotive.com,,(1),no,
Auto Parts,New York NY,Venus Autoparts,(718) 786-7775,3421 Greenpoint Ave,"Long Island City, NY 11101",NY,11101,http://venusautoparts.localsearch.com,,(2),no,
