"category","city","company","phone","address","locality","state","zip","website","rating","reviews","sent","crawl_status","retry_count","ceo_name","emails","phones","social_links","meta_description","has_ssl","site_score","last_updated"
"Roofing","Nashville TN","Ridge Valley Exteriors, Inc.","(615) 800-4254","301 S Perimeter Park Dr Ste 100","Nashville, TN 37211","TN",37211.0,"http://www.ridgevalleyexteriors.com","","","no","success",0,"","livc@ridgevalleyexteriors.com, leads@ridgevalleyexteriors.com, marketing@ridgevalleyexteriors.com, mail@ridgevalleyexteriors.com","879158280465867, 1709841868722, 2020-11-09 17","","Ridge Valley Exteriors Provides The Very Best In Residential Roofing, Commercial Roofing, Solar & Gutter Installations. Book A Free Inspection Today!",False,60,"2026-01-05 02:34:19"
"Roofing","Nashville TN","Maynard Construction and Roofing","(615) 889-5830","210 Peachtree St","Nashville, TN 37210","TN",37210.0,"http://maynardconstructionandroofing.localsearch.com","","(2)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Hopper Roofing","(901) 388-3386","2737 Green Hollow Ln","Memphis, TN 38133","TN",38133.0,"http://hopperroofing.localsearch.com","","(4)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Top Quality Roofing LLC","(901) 329-1608","4129 Chelsea Avenue Ext","Memphis, TN 38108","TN",38108.0,"http://topqualityroofingllc.localsearch.com","","(1)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Camco Roofing Supplies","(901) 372-1402","6009 Resources Dr","Memphis, TN 38134","TN",38134.0,"http://camcoroofingsupplies.localsearch.com","","44 Years","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Bluff City Roofing","(901) 327-3501","3163 Chisca Ave","Memphis, TN 38111","TN",38111.0,"http://bluffcityroofing.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Taylor Roofing","(901) 520-6029","6974 Alderwood Drive","Millington, TN 38053","TN",38053.0,"https://www.taylorroofingtn.com","","53 Years","no","success",0,"","paul@taylorroofingtn.com, your@email.com","1345938940, 1347137698, 1716942098","","For any roofing service you may require, call Taylor Roofing. We offer quality roofing services to the Millington, TN and surrounding areas. 901-872-3551",True,60,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Bartlett Gutter Co.","(901) 697-7003","10360 Hwy 70 STE 3","Lakeland, TN 38002","TN",38002.0,"http://www.bartlettgutter.com","","40 Years","no","success",0,"","bartlettgutter@bellsouth.net, your@email.com","1011128418, 1690921520, 1716942098","","Bartlett Gutter Company provides expert gutter solutions in Memphis, Collierville & Germantown, TN. Contact us at 901-867-7555 for installation, protection, and more!",False,60,"2026-01-05 02:34:20"
"Roofing","Nashville TN","Collier Roofing Co Inc","(615) 226-2844","1523 Jones Ave","Nashville, TN 37207","TN",37207.0,"http://www.collierroofing.com","","47 Years","no","success",0,"","heather@collierroofing.com","004623144674018745587, 3213.3956350588755, 615-226-2844","http://www.facebook.com/collierroofingTN, http://www.linkedin.com/company/collier-roofing-co-inc-, http://www.facebook.com/collierroofingTN, http://www.linkedin.com/company/collier-roofing-co-inc-","Owned and operated by Yvonne and Jerry Collier, who are joined by their son Eric, Collier Roofing is a  	family business specializing in commercial and industrial roofing.   The Colliers realize that employees and customers are key to  	the success of their company and treat them accordingly.",False,80,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Wells Roofing and Remodeling","(901) 482-2546","5118 Park Ave Ste 114","Memphis, TN 38117","TN",38117.0,"https://wellsroofingandremodeling.com","","","no","success",0,"","","174.1 354.8, 135.4 416, 71 333 104 333","https://www.facebook.com/wellsroofingandremodeling/, https://www.instagram.com/wellsroofingandremodeling/, https://www.linkedin.com/in/wellsroofingandremodeling, https://www.facebook.com/wellsroofingandremodeling/, https://www.instagram.com/wellsroofingandremodeling/","Find the best roofing contractor in Memphis TN with over 55 years of experience. Trust us for reliable roof services.",True,60,"2026-01-05 02:34:20"
"Roofing","Nashville TN","First National Restoration, Inc.","(615) 383-8833","2470 Murfreesboro Pike","Nashville, TN 37217","TN",37217.0,"http://firstnationalrestorationinc.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Elite Roofing Co Inc","(901) 323-5105","3206 Park Ave","Memphis, TN 38111","TN",38111.0,"http://eliteroofingcoinc.localsearch.com","","(2)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Bsu Roofing & Construction","(901) 244-7538","1420 Stonebrook Ave","Memphis, TN 38116","TN",38116.0,"http://bsuroofingconstruction.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","JD Ventures LLC","(901) 278-9006","2101 Hillshire Cir","Memphis, TN 38133","TN",38133.0,"http://jdventuresllc.localsearch.com","","(1)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Nashville TN","Family Roofing","(615) 524-2655","","Nashville, TN 37216","TN",37216.0,"http://familyroofingtn.localsearch.com","","(2)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Nashville TN","Compare Roofing Experts","(888) 906-8599","","","","","http://compareroofingexperts.localsearch.com","","1 Yearwith","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Mr. Roof of Memphis","(901) 383-1373","","Memphis, TN 38133","TN",38133.0,"http://mrroofofmemphis.localsearch.com","","(10)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:20"
"Roofing","Memphis TN","Home Restoration Contractors","(901) 406-1720","3700 Natalie St","Memphis, TN 38128","TN",38128.0,"http://homerestorationcontractors.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:21"
"Roofing","Nashville TN","Mike Roy Roofing Company","(615) 732-1663","120 Glenn Hill Dr","Hendersonville, TN 37075","TN",37075.0,"http://www.mikeroyroofing.com","","(1)","no","success",0,"","","1767576862-1.2.1.1, 1767576862, 4-1767576862-1.2.1.1","","",False,20,"2026-01-05 02:34:21"
"Roofing","Nashville TN","Tin Roof","(615) 313-7103","1516 Demonbreun St","Nashville, TN 37203","TN",37203.0,"http://www.tinroofbars.com","","(1)","no","success",0,"","","1767576862, 4-1767576862-1.2.1.1-9, 1767576862-1.2.1.1","","",False,20,"2026-01-05 02:34:21"
"Roofing","Nashville TN","ABCO Roofing","(629) 777-5217","","","","","https://www.abcoroofingtn.com","","52 Years","no","success",0,"","amie@abcoroofingtn.com, jamie@abcoroofingtn.com, your@email.com","1697804056, 1517438738, 1292126678","https://www.facebook.com/ABCO-Roofing-TN-772310679447474/, https://twitter.com/RoofingAbco, https://www.facebook.com/ABCO-Roofing-TN-772310679447474/, https://twitter.com/RoofingAbco, https://www.facebook.com/ABCO-Roofing-TN-772310679447474/","ABCO Roofing is a local company offering free estimates for roof installation, repair and roof replacement services throughout middle Tennessee. Call 615-834-ROOF (7663).",True,80,"2026-01-05 02:34:21"
"Roofing","Nashville TN","Goodlettsville Home Maintenance Co","(615) 643-1776","3363 Pinson School Rd","Greenbrier, TN 37073","TN",37073.0,"http://yellowpages.com/greenbrier-tn/mip/goodlettsville-home-maintenance-co-7077666","","8 Yearswith","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:21"
"Roofing","Memphis TN","A1 Professional Roofing & Construction Service","(901) 496-0861","3656 Suzanne Dr","Memphis, TN 38127","TN",38127.0,"http://a1professionalroofingconstructionservice.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:21"
"Roofing","Nashville TN","Metro Roofing Co","(615) 366-5037","1007 Murfreesboro Pike","Nashville, TN 37217","TN",37217.0,"http://yellowpages.com/nashville-tn/mip/ridge-valley-exteriors-inc-469848666","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:22"
"Roofing","Memphis TN","Chris Fiedler Roofing Co","(901) 278-8530","3826 Woodland Dr","Memphis, TN 38111","TN",38111.0,"http://chrisfiedlerroofingco.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:22"
"Roofing","Nashville TN","Tennessee Pro Solutions","(615) 389-3390","501 Union St","Nashville, TN 37219","TN",37219.0,"https://tnproroofer.com","","","no","success",0,"","","156.0.213.54, 1767576864.136","","",True,20,"2026-01-05 02:34:22"
"Roofing","Memphis TN","Cool Roofs","(901) 660-2577","1407 Union Ave Ste 155","Memphis, TN 38104","TN",38104.0,"https://coolroofs.co","","9 Years","no","success",0,"","emellen@cobblemarketing.com, info@coolroofs.co, team@coolroofs.co","135.4 416, 8.9-16.8 30.6-34.5 62.9-34.5 67.2 0 79.7 44.3 79.7 101.9, 102.7-2.6 132.1 9","https://www.facebook.com/coolroofs.co/, https://instagram.com/, https://www.linkedin.com/company/cool-roofs-inc/, https://instagram.com/, https://instagram.com/","Expert roofing services for residential, commercial, and luxury projects in Austin, Houston, DFW, New Braunfels, and Memphis. Call Cool Roofs.",True,80,"2026-01-05 02:34:22"
"Roofing","Nashville TN","Associated Roofing","(615) 965-4308","","","","","https://associatedroofing.net","","(7)","no","success",0,"","info@associatedroofing.net, your@email.com","1991819989, 2.0312 5.9375 4.6875 5.9375 4.6094-2.6562 4.6094-5.9375, 9.4375 2.2578 15.914 5.5","https://www.facebook.com/profile.php?id=100062870268212","Associated Roofing Inc. provides expert roofing services in Lebanon, TN. Need roof repairs or installation? Click here for more info on our services.",True,80,"2026-01-05 02:34:23"
"Roofing","Nashville TN","Sealtite Restoration","(615) 499-4680","2610 Winford Ave","Nashville, TN 37211","TN",37211.0,"http://yellowpages.com/nashville-tn/mip/reliable-roofing-construction-and-repair-service-inc-451071470","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:24"
"Roofing","Nashville TN","Sumner Roofing & Exteriors","(844) 249-6120","115 Powell Dr","Hendersonville, TN 37075","TN",37075.0,"http://www.sumnerroofing.com","","37 Years","no","success",0,"","irene@sumnerroofing.com, your@email.com","1992490874, 1203764900, 1137197195","https://www.facebook.com/sumnerroofing/","Sumner Roofing & Exteriors offers complete residential exteriors services. Call (615) 264-3233 to request a quote for roofing, siding, gutters, or windows!",False,80,"2026-01-05 02:34:26"
"Roofing","Memphis TN","Homefocus Roofing","(901) 300-0582","5050 Poplar Ave Ste 1025","Memphis, TN 38157","TN",38157.0,"https://www.homefocusroofing.com","","","no","success",0,"","8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, admin@homefocusroofing.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com","0 0 289 95, +0462-0463, +0232-0233","https://www.facebook.com/HomeFocusRoofing/, https://www.instagram.com/homefocusroofing/?hl=en","HomeFocus roofing is a expert Roofing contractor that in Roof repair, Gutter Repair and installation, attic ventilation, house siding and skylights in Memphis, TN.",True,80,"2026-01-05 02:34:26"
"Roofing","Memphis TN","Excellent Roofing","(901) 484-1800","5434 Pleasant View Rd","Memphis, TN 38134","TN",38134.0,"https://www.excellentroofing.com","","(23)","no","success",0,"","","174.1 354.8, 17.8 0 26.7 21.5 14.1 34.1, 102.7-2.6 132.1 9","https://www.facebook.com/excellentroofing, https://www.instagram.com/excellentroofing/, https://www.facebook.com/excellentroofing, https://www.instagram.com/excellentroofing, https://www.twitter.com/excellentroofin","Excellent Roofing in Memphis offers expert roofing estimates, inspections, and quality services. Contact us today for your free consultation!",True,60,"2026-01-05 02:34:27"
"Roofing","Memphis TN","Pinnacle Roofing & Restoration","(901) 438-5084","2099 Thomas Rd Ste 17","Memphis, TN 38134","TN",38134.0,"http://www.newroofmemphis.com","","","no","success",0,"","","435164201, 35.1741689, 1766515797","https://www.facebook.com/pinnacleroofingandrestoration/","Welcome to Pinnacle Roofing! We are your Memphis roofing experts available around the clock to provide you with exceptional roofing services.",False,60,"2026-01-05 02:34:28"
"Roofing","Nashville TN","MidSouth Construction","(615) 703-8522","652 Old Ezell Rd","Nashville, TN 37217","TN",37217.0,"https://www.roofingbymidsouth.com","","","no","success",0,"","info@midsouthconstruction.net","74.21 82.4, 23 23 0 0 0 364.17 370, 135.4 416","https://www.facebook.com/midsouthconstruction, https://www.instagram.com/roofingbymidsouth/, https://www.linkedin.com/company/midsouth-construction","Discover MidSouth Construction, a reputable roofing company in Nashville, TN that attends to all residential and commercial roofing needs. Free quote.",True,80,"2026-01-05 02:34:28"
"Roofing","Nashville TN","Phoenix Roofing and Renovations","(629) 356-5356","6th Ave N","Nashville, TN 37203","TN",37203.0,"https://www.phoenixrnr.com","","","no","success",0,"","office@phoenixrnr.com","629) 356-5356, 6331270559, 2026-01-04","https://www.facebook.com/profile.php?id=61563836494595, https://www.instagram.com/phoenixroofs/, https://www.instagram.com/phoenixroofs/, https://www.instagram.com/phoenixroofs/, https://www.instagram.com/phoenixroofs/","",True,60,"2026-01-05 02:34:29"
"Roofing","Memphis TN","Harold Hall Roofing Inc","(901) 785-4500","6000 Poplar Ave","Memphis, TN 38119","TN",38119.0,"http://www.haroldhallroofing.com","","(2)","no","success",0,"Insouth Bank","","601-339-6149, 2025-12-03, 615-651-6885","https://www.facebook.com/haroldhallroofing/, https://twitter.com/haroldhallroof, https://www.linkedin.com/company-beta/15655181/, https://www.facebook.com/haroldhallroofing/, https://twitter.com/haroldhallroof","Since 1966, Harold Hall Roofing has delivered trusted commercial roofing services across the Mid-South—specializing in Duro-Last roofs, repairs, and replacements. Get a free quote today!",False,80,"2026-01-05 02:34:29"
"Roofing","Memphis TN","J Adams Roofing Inc","(901) 212-1888","","Memphis, TN 38118","TN",38118.0,"https://www.jadamsroofinginc.com","","(1)","no","success",0,"","jadamsroofinginc@gmail.com","174.1 354.8, 1.2 448.7, 71 333 104 333","https://www.facebook.com/jadamsroofinginc","Looking for a reliable roofing company that specializes in new roof installations, roof repairs, and exceptional customer service? You've come to the right place! Our team of experienced professionals is dedicated to ensuring your home stays safe, secure, and beautiful with our high-quality roofing solutions.",True,80,"2026-01-05 02:34:29"
"Roofing","Memphis TN","Harold Hall Roofing Inc.","(901) 785-4500","6000 Avenue Of Commerce Dr","Memphis, TN 38125","TN",38125.0,"http://haroldhallroofing.com","","60 Years","no","success",0,"Insouth Bank","","601-339-6149, 2025-12-03, 615-651-6885","https://www.facebook.com/haroldhallroofing/, https://twitter.com/haroldhallroof, https://www.linkedin.com/company-beta/15655181/, https://www.facebook.com/haroldhallroofing/, https://twitter.com/haroldhallroof","Since 1966, Harold Hall Roofing has delivered trusted commercial roofing services across the Mid-South—specializing in Duro-Last roofs, repairs, and replacements. Get a free quote today!",False,80,"2026-01-05 02:34:29"
"Roofing","Nashville TN","Greenform Roofing & Solar","(615) 617-6470","406 11th Ave N","Nashville, TN 37203","TN",37203.0,"https://mapsovercoffee.com/my-green-form","","","no","success",0,"","","5.293-5.293, 0.709 4.625, 73.174 11.0569 73.2075 10.9258 73.2764 10.8127","https://www.facebook.com/MapsOverCoffee/, https://twitter.com/MapsOver, https://www.instagram.com/mapsovercoffee/","You might have noticed a new design for My Green Form. Don't worry, you are in the right place. We are in the process of merging with Maps Over Coffee.",True,60,"2026-01-05 02:34:30"
"Roofing","Memphis TN","John J Campbell Co Inc","(800) 274-7663","6012 Resources Dr","Memphis, TN 38134","TN",38134.0,"http://campbellroofing.com","","55 Years","no","success",0,"","Sales@campbellroofing.com, sales@campbellroofing.com","89.8628367, 901-372-8404, 86.658130","https://twitter.com/johnjcampbellco, https://www.linkedin.com/company/john-j.-campbell-co.-inc./?viewAsMember=true, https://www.facebook.com/johnjcampbellroofingservices","Campbell Roofing",False,80,"2026-01-05 02:34:31"
"Roofing","Memphis TN","Roof Pro LLC","(901) 465-5558","","Memphis, TN 38133","TN",38133.0,"http://www.roofpromemphis.com","","(2)","no","success",0,"","","58.04-11.462-79.195-32.616, 176 117.333, 36.6 67.6 3.5 104 3.5 149 1 184.6-.1 220.2 0 255.8","https://www.instagram.com/saffronavenue/, https://www.facebook.com/saffronavenue, https://www.instagram.com/saffronavenue/, https://www.facebook.com/saffronavenue","Looking for a Memphis roofing company you can trust? RoofPro specializes in commercial roofing solutions with long-lasting results.",False,60,"2026-01-05 02:34:31"
"Roofing","Nashville TN","Kurgan's Gutters & Siding","(615) 212-5532","613 E Old Hickory Blvd","Madison, TN 37115","TN",37115.0,"http://www.kurgansgutters.com","","(4)","no","success",0,"","kgcllc@comcast.net","1777264949, 0.133-2.175, 0 0 0 14.22","https://facebook.com/237624569592603, https://instagram.com/kurgansguttercompanyllc","Kurgan's Gutters & Siding offers the gutter installation Nashville, TN and the surrounding areas can count on! Turn to us for professional help today.",False,80,"2026-01-05 02:34:32"
"Roofing","Nashville TN","Ccc Caldwell Construction Co","(615) 399-5252","486 Bell Rd","Nashville, TN 37217","TN",37217.0,"http://www.cccroofing.com","","(1)","no","timeout",0,"","","","","",0,0,"2026-01-05 02:34:37"
