category,state,company_name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Car Detailing,Orlando FL,Top Dog Car Wash,(407) 745-5025,11317 Narcoossee Rd,"Orlando, FL 32832",FL,32832.0,http://yellowpages.com/orlando-fl/mip/jims-mobile-car-wash-detail-495354613,,12 Years,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,G & K Automotive,(972) 216-5363,1313 Nehrmeyer St,"Mesquite, TX 75150",TX,75150.0,http://yellowpages.com/mesquite-tx/mip/gallitos-auto-repair-3169030,,,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Nashville TN,Tire Distribution Systems,(615) 333-5538,608 Space Park S,"Nashville, TN 37211",TN,37211.0,http://tiredistributionsystems462137409.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Houston TX,Nick Auto Repair,(281) 448-2034,9624 Veterans Memorial Dr,"Houston, TX 77038",TX,77038.0,http://yellowpages.com/houston-tx/mip/a-m-auto-repair-6296059,,,no,,,,,,,50,success,USA,Auto Services
Car Detailing,Orlando FL,Bj X Detail,(321) 369-8214,,"Orlando, FL 32839",FL,32839.0,http://bjxdetail.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Battery Lad Salvage,(480) 833-6190,500 S Country Club Dr,"Mesa, AZ 85210",AZ,85210.0,http://batteryladsalvage.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,C & G Auto Center,(407) 355-0638,4155 W Oak Ridge Rd,"Orlando, FL 32809",FL,32809.0,http://www.cgautocenter.com,,(4),no,,,"https://facebook.com/CGAutoCenter, https://twitter.com/Cgautocenter?lang=en",,"At C & G Auto Center, we take pride in providing top-quality auto repair services to the Orlando community. Call us today or book your appointment online!",https://irp.cdn-website.com/540a1a00/site_favicon_16_1741884803813.ico,55,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Lift Pro Automotive Equipment,(480) 650-6306,5005 S Ash Ave Ste 4,"Tempe, AZ 85282",AZ,85282.0,http://liftproaz.com,,20 Years,no,,service@liftproaz.com,"https://www.instagram.com/liftpro__az/, https://www.facebook.com/liftproaz/, https://www.linkedin.com/company/lift-pro-automotive-equipment",,,https://liftproaz.com/wp-content/uploads/2017/05/favicon.png,55,success,USA,Auto Services
Towing,Los Angeles CA,Primary Towing Los Angeles,(310) 492-5075,5776 Venice Blvd,"Los Angeles, CA 90019",CA,90019.0,https://www.primarytowing-losangeles.com,,,no,,,,,"Primary Towing Los Angeles is open 24 hours for fast, affordable Towing & Roadside Assistance. Small, Heavy Duty, Flatbed towing + more. Call: (310) 492-5075",https://www.primarytowing-losangeles.com/img/favicon.ico,70,success,USA,Auto Services
Towing,Cincinnati OH,Kulwin Dwight R & Kersten Robert C,(513) 984-5133,,,,,http://kulwindwightrkerstenrobertc.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Emh Auto Care,(972) 271-3422,2214 S Jupiter Rd,"Garland, TX 75041",TX,75041.0,http://local.firestonecompleteautocare.com/texas/garland/903-w-centerville-rd/?lw_cmp=iyp_ypc_mlp_19984,,,no,,,,,,,50,success,USA,Auto Services
Auto AC Repair,Chicago IL,Stokes Auto Service,(773) 523-7840,700 W 43rd St,"Chicago, IL 60609",IL,60609.0,http://www.autoservicechicago.com,,(1),no,,,,,,,50,success,USA,Auto Services
Auto AC Repair,Chicago IL,Corral Auto Service,(773) 762-5558,2256 S Kedzie Ave,"Chicago, IL 60623",IL,60623.0,https://www.corralautoservice.shop,,(1),no,,,,,,,0,error,USA,Auto Services
Auto Repair,Orlando FL,Kar Kare,(407) 851-9370,6025 S Orange Blossom Trl,"Orlando, FL 32809",FL,32809.0,http://www.karkare.net,,55 Years,no,,,,,,,0,error,USA,Auto Services
Tire Shops,Memphis TN,Creative Critique,(662) 470-6502,9023 Millbranch Rd,"Southaven, MS 38671",MS,38671.0,http://creativecritique.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Europhil Auto Service,(972) 487-9920,618 Forest Center Plz,"Garland, TX 75042",TX,75042.0,http://yellowpages.com/garland-tx/mip/firestone-complete-auto-care-480047136,,,no,,,,,,,60,success,USA,Auto Services
Car Detailing,Orlando FL,Detail Meister,(407) 766-1706,,"Orlando, FL 32825",FL,32825.0,http://detailmeister.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Towing,Los Angeles CA,Sams Westwood towing,(310) 461-4409,10345 Wilkins Ave Apt 102,"Los Angeles, CA 90024",CA,90024.0,http://samswestwoodtowing.localsearch.com,,27 Years,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Henry Automotive,(972) 487-7609,406 S Bullock Dr,"Garland, TX 75042",TX,75042.0,http://yellowpages.com/garland-tx/mip/firestone-complete-auto-care-480047136,,,no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,One Call We DO IT All,(513) 709-2745,,,,,http://yellowpages.com/cincinnati-oh/mip/duwel-automotive-service-6060955,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Gonzalez Auto Repair,(972) 557-2660,4405 S Peachtree Rd,"Balch Springs, TX 75180",TX,75180.0,http://yellowpages.com/balch-springs-tx/mip/elam-kwik-kar-29813125,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Saturn Auto Care,(972) 864-9841,1415 W Kingsley Rd,"Garland, TX 75041",TX,75041.0,http://yellowpages.com/garland-tx/mip/murdock-sons-automotive-480941667,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,PM Service Corp,(954) 368-7354,5079 SW 48th St,"Davie, FL 33314",FL,33314.0,http://yellowpages.com/davie-fl/mip/cool-your-air-fort-lauderdale-ac-repair-466138444,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Nashville TN,Action Crash Parts Of Nashville,(615) 254-0092,3730 Dickerson Pike,"Nashville, TN 37207",TN,37207.0,http://yellowpages.com/nashville-tn/mip/autozone-auto-parts-455633687,,,no,,,,,,,60,success,USA,Auto Services
Towing,Cincinnati OH,Bridgetown Mini Mart,(513) 574-4546,,,,,http://yellowpages.com/cincinnati-oh/mip/united-dairy-farmers-17844691,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Auto,(469) 472-9113,2713 Altman Dr,"Irving, TX 75062",TX,75062.0,http://yellowpages.com/irving-tx/mip/metro-volkswagen-1773331,,,no,,,,,,,50,success,USA,Auto Services
Car Stereo Systems,Columbus OH,Bentley's Custom Car Stereo,(614) 231-6671,2197 S James Rd,"Columbus, OH 43232",OH,43232.0,http://yellowpages.com/columbus-oh/mip/bentleys-custom-car-stereo-8581902,,,no,,,,,,,60,success,USA,Auto Services
Car Detailing,Orlando FL,5 Star Mobile Detailing,(407) 353-0896,,,,,http://www.5starsmobiledetailing.com/home.html,,(2),no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Phoenix AZ,German Motors,(480) 969-9388,1121 S Wilbur,"Mesa, AZ 85210",AZ,85210.0,http://www.germanmotorsmesa.com,,(1),no,,,,,"Welcome to German Motors, the east valley's expert Volkswagen repair shop. ​We specialize in VW service for the Mesa, Gilbert, Chandler, Tempe, and Phoenix metro area.",http://nebula.wsimg.com/b64a53840c23eacfb6b0f6ccf7b83500?AccessKeyId=48C2F2A42923A7C146C9&disposition=0&alloworigin=1,60,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Hawkes Discount Radiator & AC,(623) 478-9960,225 S Hibbert,"Mesa, AZ 85210",AZ,85210.0,http://hawkesdiscountradiatorac.localsearch.com,,(4),no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Rusty's Automatic Transmissions,(972) 278-2729,3141 Saturn Rd,"Garland, TX 75041",TX,75041.0,http://yellowpages.com/garland-tx/mip/lone-star-cadillac-473033275,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Memphis TN,Discount Tire,(662) 253-6153,438 Goodman Rd E,"Southaven, MS 38671",MS,38671.0,http://www.discounttire.com,,(1),no,,,,,,,60,success,USA,Auto Services
Auto Parts,Nashville TN,Anc Auto Parts,(615) 251-0061,4729 Ashland City Hwy,"Nashville, TN 37218",TN,37218.0,http://shop.advanceautoparts.com/home,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,Triana's Auto Collision,(954) 424-7588,2031 SW 70th Ave,"Davie, FL 33317",FL,33317.0,http://trianasautocollision.godaddysites.com,,,no,,,,,,,60,success,USA,Auto Services
Towing,Los Angeles CA,Relentless,(213) 406-7894,787 W 5th St,"Los Angeles, CA 90071",CA,90071.0,http://yellowpages.com/los-angeles-ca/mip/mission-rd-auto-wrecking-8076751,,,no,,,,,,,65,success,USA,Auto Services
Towing,Cincinnati OH,K & K Motors Inc,(513) 563-8313,,,,,http://www.cincinnativanrentals.com/index.html,,,no,,,,,,,65,success,USA,Auto Services
Auto Glass Repair,Tampa FL,Trueglass AutoGlass,(813) 522-2263,1504 E Dr Martin Luther King Jr Blvd,"Tampa, FL 33610",FL,33610.0,https://trueglass.net,,,no,,"lben@trueglass.net, astigma@astigmatic.com",https://www.facebook.com/107857575666238,,Get top-notch auto glass repair and replacement services. Trust True Glass Auto Glass for quality automotive glass solutions tailored to your needs.,"https://img1.wsimg.com/isteam/ip/7bba500e-6fe9-4f1d-91ac-d985aace1a47/favicon/fcc4b63f-1b0b-46a1-b831-1ad74fe75148/4e23a11b-f68c-4bd7-b0b3-f5d946276984.jpg/:/rs=w:16,h:16,m",85,success,USA,Auto Services
Auto Parts,Nashville TN,Bellxs,(615) 219-9777,234 Brevard Ct,"Nashville, TN 37211",TN,37211.0,http://bellxs.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,A-1 Auto Collision Inc,(954) 351-5550,5061 NE 13th Ave,"Oakland Park, FL 33334",FL,33334.0,http://a1autocollisioninc.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,El Rincon Mechanic Shop,(972) 986-7627,130 S Briery Rd,"Irving, TX 75060",TX,75060.0,http://yellowpages.com/irving-tx/mip/lopez-auto-repair-6633988,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Orlando FL,L & M Mobile Mechanic,(407) 553-1327,3510 Old Winter Garden Rd,"Orlando, FL 32805",FL,32805.0,http://lmmobilemechanicfl.localsearch.com,,(1),no,,,,,,,50,success,USA,Auto Services
Towing,Los Angeles CA,Priority Tow,(310) 208-7789,2143 Pontius Ave,"Los Angeles, CA 90025",CA,90025.0,https://www.losangelestowservice.com/contact-us,,,no,,,,,,,60,success,USA,Auto Services
Tire Shops,Memphis TN,Pep Boys Auto Service & Tire,(662) 536-1727,1394 Goodman Rd E,"Southaven, MS 38671",MS,38671.0,https://www.pepboys.com,,(1),no,,,,,px-captcha,,80,success,USA,Auto Services
Auto Parts,Nashville TN,Harding Auto Tech Inc,(615) 833-9281,361 Harding Pl,"Nashville, TN 37211",TN,37211.0,http://yellowpages.com/nashville-tn/mip/midas-auto-service-experts-10559810,,,no,,,,,,,65,success,USA,Auto Services
Tire Shops,Memphis TN,Gateway Tire & Service Center,(662) 349-0055,1010 Goodman Rd W,"Horn Lake, MS 38637",MS,38637.0,https://www.gatewaytireandservice.com,,(4),no,,,,,,,60,success,USA,Auto Services
Used Car Parts,Phoenix AZ,AAA Radiator,(480) 424-5503,502 W 3rd Ave,"Mesa, AZ 85210",AZ,85210.0,http://aaaradiator474013603.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Memphis TN,Treadways Corporation,(662) 349-9701,295 Marathon Way,"Southaven, MS 38671",MS,38671.0,http://treadwayscorporation.localsearch.com,,21 Years,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,Ramiro Mechanic,(407) 447-8462,1912 E Kaley Ave,"Orlando, FL 32806",FL,32806.0,http://ramiromechanic.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,Gene's Auto Service,(407) 645-1647,3025 Corrine Dr,"Orlando, FL 32803",FL,32803.0,http://genesautoservicefl.localsearch.com,,38 Years,no,,,,,,,50,success,USA,Auto Services
Car Stereo Systems,Columbus OH,Sound Chamber,(614) 586-1105,2925 Westerville Rd,"Columbus, OH 43224",OH,43224.0,http://sound-audio.edan.io,,,no,,,,,"Sound Chamber Car Audio  in 2925 Westerville Rd, Columbus, OH 43224",http://edan.io/img/favicon.png,60,success,USA,Auto Services
Towing,Los Angeles CA,Los Angeles Towing Services,(323) 521-5355,3989 Meier St,"Los Angeles, CA 90066",CA,90066.0,https://www.losangeles-towingservice.com/contact-us,,,no,,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com",,,"Los Angeles Towing Services
888-866-7379
3989 Meier St, Los Angeles, CA. 90066",https://static.wixstatic.com/media/14b4d7_f69c4c09e9834bcca2070a5c1c98378e%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/14b4d7_f69c4c09e9834bcca2070a5c1c98378e%7Emv2.png,70,success,USA,Auto Services
Tire Shops,Memphis TN,Stone Automotive,(662) 280-7248,1601 Dancy Blvd,"Horn Lake, MS 38637",MS,38637.0,https://www.jasperengines.com,,29 Years,no,,,,,,,75,success,USA,Auto Services
