category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Brake Repair,New York NY,MINHS Automotive,(718) 832-3096,578 3rd Ave,"Brooklyn, NY 11215",NY,11215.0,http://www.minhsautocare.com,,(5),no,,,"https://www.facebook.com/minhsautocare, https://www.instagram.com/minhsautomotive/, https://twitter.com/MinhsAutoCare",,"MINHS Automotive is a full service European auto repair shop in Brooklyn NY. Our mission at MINHS Automotive is to earn our customer’s loyalty by delivering high standards of service, professionalism, and quality customer care.",https://www.minhsautocare.com/favicon.ico?v=2,65,success,USA,Auto Services
Remanufactured Engines,Seattle WA,Auto Repair Six One Eight,(360) 627-7332,2142 6th St,"Bremerton, WA 98312",WA,98312.0,http://yellowpages.com/bremerton-wa/mip/puget-sound-vehicle-maintenance-3169855,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Tampa FL,Harmon AutoGlass,(352) 351-1644,8309 N Thatcher Ave,"Tampa, FL 33614",FL,33614.0,https://www.safelite.com/redirects/harmon-glass,,,no,,"safelite-foster-love-logo-transparent@1-5x.png, high-quality-windshield-replacement@2x.jpg, youtube@1x.png","https://www.facebook.com/safelite, https://www.linkedin.com/company/safelite-autoglass, https://www.instagram.com/safelite/",,If you have a broken windshield you need a repair or replacement. Trust America's auto glass experts at Safelite®. Book an appointment with our technicians.,https://www.safelite.com/imagesv3/default-source/iconography/favicons/favicon_lg180px.png,85,success,USA,Auto Services
Oil Change,Cleveland OH,Sunoco Gas Station,(440) 786-7792,10 Northfield Rd,"Bedford, OH 44146",OH,44146.0,https://www.sunoco.com/find-a-station?utm_source=gmb&utm_medium=organic&utm_content=569,,,no,,,"https://www.facebook.com/GoSunoco/, https://www.instagram.com/gosunoco/, https://www.facebook.com/SunocoRacing/",,,https://www.sunoco.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 360-0635,3701 Lamar Ave,"Memphis, TN 38118",TN,38118.0,https://locations.oreillyauto.com/tn/memphis/autoparts-1204.html,,,no,,,"https://www.facebook.com/272269309510819/reviews/?ref=page_internal, https://www.facebook.com/OreillyAutoParts, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #1204 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Auto Glass Now Memphis,(901) 547-0001,3620 Lamar Ave,"Memphis, TN 38118",TN,38118.0,http://autoglassnow.com/memphis-lamar,,(12),no,,,,,"Need reliable auto glass repair services? Visit Auto Glass Now® for the best prices, lifetime warranty, and same day services. Find a location near you!",http://autoglassnow.com/favicon.svg,60,success,USA,Auto Services
Oil Change,Cleveland OH,All Tune & Lube,(440) 232-6222,19606 Rockside Rd,"Bedford, OH 44146",OH,44146.0,http://www.alltuneandlube.com,,35 Years,no,,,,,"Your Neighborhood Auto Repair Shop Since 1986, All Tune Total Car Care has been your trusted destination for comprehensive automotive service. Services That Keep You Moving Why Choose All Tune Total Car Care? Decades of Trust and Experience With almost 40 years in the industry, we’ve built a reputation for honesty, reliability, and quality service",http://www.alltuneandlube.com/wp-content/uploads/2025/06/alltune-favicon-2.png,60,success,USA,Auto Services
Auto Repair,Tampa FL,RI Automotive,(813) 935-6720,9713 N Nebraska Ave,"Tampa, FL 33612",FL,33612.0,https://riautomotive.net,,,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Tampa FL,Seminole Heights Mechanic Shop,(813) 252-5231,6210 N 9th St,"Tampa, FL 33604",FL,33604.0,https://seminoleheightscentral.com/index.php/auto-mechanics,,,no,,,https://www.facebook.com/seminoleheightscentral/,,,https://i0.wp.com/seminoleheightscentral.com/wp-content/uploads/2021/01/cropped-SHC-LOGO.jpg?fit=32%2C32&ssl=1,65,success,USA,Auto Services
Auto Body Parts,Birmingham AL,Nelson Auto Sales,(205) 856-3333,1729 Old Springville Rd,"Center Point, AL 35215",AL,35215.0,http://nelsonautollc.com,,37 Years,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Tampa FL,American Frame/Central Florida Frame & Axle Inc,(813) 620-9151,5710 Causeway Blvd,"Tampa, FL 33619",FL,33619.0,http://www.americanframeandaxle.com,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 375-4948,6650 E Shelby Dr,"Memphis, TN 38141",TN,38141.0,https://locations.oreillyauto.com/tn/memphis/autoparts-1025.html,,,no,,,"https://www.facebook.com/OreillyAutoParts, https://www.facebook.com/233332840090093/reviews/?ref=page_internal, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #1025 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 743-1189,2355 Lamar Ave,"Memphis, TN 38114",TN,38114.0,https://locations.oreillyauto.com/tn/memphis/autoparts-1061.html,,,no,,,"https://www.facebook.com/168035673312593/reviews/?ref=page_internal, https://www.facebook.com/OreillyAutoParts, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #1061 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Tire Shops,Cleveland OH,Quick Lane,(440) 887-2980,6930 Pearl Rd,"Cleveland, OH 44130",OH,44130.0,https://www.quicklane.com/middleburgheights,,,no,,,,,,,0,timeout,USA,Auto Services
Remanufactured Engines,Seattle WA,Woodinville Import Auto Repair,(425) 481-1927,15632 NE Woodinville Duvall Pl,"Woodinville, WA 98072",WA,98072.0,https://www.woodinvilleimportauto.com/contact-us,,(1),no,,,,,,,0,timeout,USA,Auto Services
Remanufactured Engines,Seattle WA,Bucky's Complete Auto Repair,(360) 792-0959,5781 State Highway 303 NE,"Bremerton, WA 98311",WA,98311.0,http://www.buckys.com/locations/silverdale-e-bremerton,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Parts,Memphis TN,Snell Automotive,(901) 388-7390,2848 Appling Way,"Memphis, TN 38133",TN,38133.0,http://www.snellautomotive.com,,42 Years,no,,,,,,,0,timeout,USA,Auto Services
Car Transport,New York NY,Rist Transport,(201) 935-8647,130 Moonachie Ave,"Carlstadt, NJ 07072",NJ,7072.0,http://wadhams.com,,,no,,,,,,,0,timeout,USA,Auto Services
Oil Change,Cleveland OH,Super Lube - Westlake,(440) 871-7797,601 Dover Center Rd,"Bay Village, OH 44140",OH,44140.0,,,,no,,,,,,,0,timeout,USA,Auto Services
Oil Change,Cleveland OH,Bob Adams Automotive,(216) 475-1611,700 Turney Rd,"Bedford, OH 44146",OH,44146.0,http://bauto.mechanicnet.com/,,55 Years,no,,,,,,,0,error,USA,Auto Services
Auto Repair,Tampa FL,Quality Value Automotive Repair,(813) 971-2886,910 E Fowler Ave,"Tampa, FL 33612",FL,33612.0,http://www.qualityvalueautomotiverepair.com,,12 Years,no,,,,,,,0,error,USA,Auto Services
Oil Change,Cleveland OH,Baker's Automotive,(440) 526-0070,600 E Royalton Rd,"Broadview Heights, OH 44147",OH,44147.0,http://www.acdelco.com,,(1),no,,,,,,,65,success,USA,Auto Services
Brake Repair,New York NY,Tuffy Auto Service Centers,(201) 864-2556,1510 Kennedy Blvd,"Union City, NJ 07087",NJ,7087.0,http://www.tuffyunioncity.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Parts,Memphis TN,Advance Auto Parts,(901) 396-3302,3585 Elvis Presley Blvd,"Memphis, TN 38116",TN,38116.0,https://stores.advanceautoparts.com/tn/memphis/3585-elvis-presley-blvd?utm_medium=local&utm_source=yext&utm_content=listing-2016-12-29&utm_campaign=aap,,21 Years,no,,,"https://www.facebook.com/advanceautoparts, https://twitter.com/AdvanceAuto, https://www.instagram.com/advanceautoparts/",,"Auto Parts Near Me at 3585 Elvis Presley Blvd in Memphis, TN. We have everything you need to DIY and save by shopping online or in-store at an Advance Auto Parts store near you for the best replacement parts and aftermarket accessories.",https://stores.advanceautoparts.com/assets/static/favicon-Light-a399771f.svg,90,success,USA,Auto Services
Car Transport,New York NY,United Enclosed Car Transportation,(718) 924-2297,953 Southern Blvd,"Bronx, NY 10459",NY,10459.0,http://unitedenclosedcartransportation.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Superior Mobile Windshield Repair,(901) 797-9666,6347 Wind Ridge Cv,"Memphis, TN 38141",TN,38141.0,http://superiormobilewindshieldrepair.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Body Shops,New York NY,Galaxy Auto Service Inc,(212) 243-6188,400 West St,"New York, NY 10014",NY,10014.0,http://galaxyautoserviceinc.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Tampa FL,Euro Technique,(813) 774-6769,6001 Johns Rd,"Tampa, FL 33634",FL,33634.0,http://eurotechnique.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Tampa FL,Professional Fleet Maintenance,(855) 572-2622,7728 E Hillsborough Ave,"Tampa, FL 33610",FL,33610.0,https://www.professionalfleetmaintenance.com,,,no,,,"https://instagram.com/pfmshopfl, https://facebook.com/Professional-Fleet-Maintenance-2011747895753989",,Get expert truck & fleet auto repair services in FL. Our ASE-Certified Technicians ensure your vehicles run safely & efficiently. Contact us today!,https://irp.cdn-website.com/9343359f/dms3rep/multi/Professional-Fleet-Maintenance-Logo-25_white-circle.png,80,success,USA,Auto Services
Brake Repair,New York NY,Cenco Tranmission,(718) 636-5500,1090 Atlantic Ave,"Brooklyn, NY 11238",NY,11238.0,http://cencotranmission.localsearch.com,,14 Years,no,,,,,,,65,success,USA,Auto Services
Auto Parts,Memphis TN,Advance Auto Parts,(901) 766-2942,4522 Summer Ave,"Memphis, TN 38122",TN,38122.0,https://stores.advanceautoparts.com/tn/memphis/4522-summer-ave?utm_medium=local&utm_source=yext&utm_content=listing-2016-12-29&utm_campaign=aap,,,no,,,"https://www.facebook.com/advanceautoparts, https://twitter.com/AdvanceAuto, https://www.instagram.com/advanceautoparts/",,"Auto Parts Near Me at 4522 Summer Ave in Memphis, TN. We have everything you need to DIY and save by shopping online or in-store at an Advance Auto Parts store near you for the best replacement parts and aftermarket accessories.",https://stores.advanceautoparts.com/assets/static/favicon-Light-a399771f.svg,90,success,USA,Auto Services
Automotive Machine Shops,Dallas TX,Chu Products,(972) 487-0100,4430 Action St,"Garland, TX 75042",TX,75042.0,http://chuproducts.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Shops,New York NY,Europa Custom Motors,(212) 633-0189,399 West St,"New York, NY 10014",NY,10014.0,http://europacustommotors.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Oil Change,Cleveland OH,Tire Choice,(440) 234-4990,137 Front St,"Berea, OH 44017",OH,44017.0,http://tirechoice.localsearch.com,,(1),no,,,,,,,60,success,USA,Auto Services
Towing,Chicago IL,Screaming Eagles Towing and Recovery Inc.,(312) 834-5661,,,,,http://screamingeaglestowingandrecoveryinc.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Auto Glass Domestic & Foreign,(901) 545-5319,4245 Cherry Center Dr,"Memphis, TN 38118",TN,38118.0,http://autoglassdomesticforeigntn.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Tire Shops,Cleveland OH,Ziegler Tire,(216) 961-6730,8500 Clinton Rd,"Brooklyn, OH 44144",OH,44144.0,http://www.zieglertire.com,,,no,,,,,Ziegler Tire offers tire sales & auto repair services. Enjoy exclusive promotions & expert service. Contact us today!,https://irp.cdn-website.com/d064d1ef/dms3rep/multi/ziegler-app-image.png,60,success,USA,Auto Services
Auto Parts,Memphis TN,Summer Avenue Used Auto Parts,(901) 324-6001,658 Carpenter St,"Memphis, TN 38112",TN,38112.0,http://yellowpages.com/memphis-tn/mip/tys-automotive-machine-shop-15511945,,(1),no,,,,,,,50,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Complete Auto Glass Replacement,(901) 443-7036,700 S B B King Blvd,"Memphis, TN 38126",TN,38126.0,http://yellowpages.com/memphis-tn/mip/caliber-auto-glass-574447447,,,no,,,,,,,50,success,USA,Auto Services
Brake Repair,New York NY,J & H Automotive Enterprises,(201) 413-9668,90 Harrison Ave,"Jersey City, NJ 07304",NJ,7304.0,https://jervance.wordpress.com,,41 Years,no,,,,,"90 Harrison Ave  Jersey  City,New Jersey 07304 auto repair 201 419-9668",https://s1.wp.com/i/favicon.ico?m=1713425267i,70,success,USA,Auto Services
Car Transport,New York NY,Marcos Auto Transport Inc,(908) 810-0190,384 Princeton Ave,"Hillside, NJ 07205",NJ,7205.0,http://yellowpages.com/hillside-nj/mip/marcos-auto-transport-inc-27026445,,25 Years,no,,,,,,,50,success,USA,Auto Services
Automotive Machine Shops,Dallas TX,United Machine Service,(214) 693-6757,3211 S Peachtree Rd Ste 118,"Balch Springs, TX 75180",TX,75180.0,http://yellowpages.com/balch-springs-tx/mip/loden-machine-shop-466531926,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Seattle WA,RJ Automotive,(253) 854-0947,1133 W James St,"Kent, WA 98032",WA,98032.0,http://yellowpages.com/kent-wa/mip/automotive-experts-467069575,,,no,,,,,,,50,success,USA,Auto Services
Towing,Chicago IL,A I Recovery,(773) 602-1575,,,,,http://airecoveryil.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Transport,New York NY,USA Auto Transport,(646) 798-0884,1276 Fulton Ave,"Bronx, NY 10456",NY,10456.0,http://usaautotransport507748125.localsearch.com,,21 Years,no,,,,,,,50,success,USA,Auto Services
Car Transport,New York NY,The Flower,(718) 332-3111,2659 Coney Island Ave,"Brooklyn, NY 11223",NY,11223.0,http://mayflower.com/moving,,,no,,,"https://www.linkedin.com/company/mayflower/, https://www.facebook.com/MayflowerMoving, https://twitter.com/MayflowerMoving",,,http://mayflower.com/imgs/cropped-favicon-32x32.png,55,success,USA,Auto Services
Oil Change,Cleveland OH,Take 5 Oil Change,(330) 249-3086,8874 Pearl Rd,"Strongsville, OH 44136",OH,44136.0,https://www.take5.com/locations/oil-change/ohio/strongsville/30967,,,no,,take5.shop967@take5oilchange.com,"https://twitter.com/take5_oilchange, https://www.facebook.com/Take5OilChange/, https://www.instagram.com/take5oilchange/",,Stay in your car for a 10 minute oil change at Take 5 Oil Change in Strongsville at 8874 Pearl Rd. Visit our location near you for fast and friendly service!,https://www.take5.com/favicon.ico,85,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Free Claim Auto Glass,(901) 545-5350,4325 Stage Rd,"Memphis, TN 38128",TN,38128.0,http://yellowpages.com/memphis-tn/mip/free-claim-auto-glass-550699331,,,no,,,,,,,50,success,USA,Auto Services
Brake Repair,New York NY,Meineke Car Care Center,(201) 984-4846,1613 Jf Kennedy Blvd.,"Jersey City, NJ 07305",NJ,7305.0,https://www.meineke.com/locations/nj/jersey-city-1935,,,no,,Adam.m.zell@gmail.com,"https://www.facebook.com/meinekecarcareusa, https://www.instagram.com/meinekecarcare/",,"Need quality auto repair in or near Jersey City, NJ? Meineke #353 has skilled mechanics ready to help. Get directions and stop by for service today!",https://www.meineke.com/favicon.ico,75,success,USA,Auto Services
Remanufactured Engines,Seattle WA,Plateau Motors,(425) 898-9900,625 228th Ave NE,"Sammamish, WA 98074",WA,98074.0,http://www.plateaumotors.com,,,no,,,"https://www.facebook.com/p/Plateau-Motors-100068840035468/, https://www.instagram.com/plateau_motors/",,"Experienced technicians. We have been serving the Sammamish Plateau since 1999, offering complete automobile repairs on all makes and models of vehicles.",https://cdn.prod.website-files.com/667dad65b06c792a9d3786c3/667daecdf04010c80440ae42_Favicon.png,65,success,USA,Auto Services
Auto Parts,Memphis TN,AutoZone Auto Parts,(901) 386-3000,2900 Covington Pike,"Memphis, TN 38128",TN,38128.0,https://www.autozone.com/locations/tn/memphis/2900-covington-pk.html,,(1),no,,,,,px-captcha,,70,success,USA,Auto Services
Auto Repair,Tampa FL,Xclusive zone auto repair,(813) 899-1060,9207 n hyaleah rd,"Tampa, FL 33617",FL,33617.0,http://xclusivezoneautorepair.localsearch.com,,11 Years,no,,,,,,,50,success,USA,Auto Services
Towing,Chicago IL,A1 Citywide Towing,(312) 829-3697,,,,,http://a1citywidetowingil.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Shops,New York NY,Barrow 24 Hr Auto Repair,(646) 237-1526,60 Barrow St,"New York, NY 10014",NY,10014.0,http://barrow24hrautorepair.localsearch.com,,17 Years,no,,,,,,,50,success,USA,Auto Services
Brake Repair,New York NY,Model Service Center,(201) 434-9761,225 Mallory Ave,"Jersey City, NJ 07304",NJ,7304.0,http://modelservicecenter.localsearch.com,,51 Years,no,,,,,,,50,success,USA,Auto Services
Car Wheels,Miami FL,Miami Sliding Door Works,(305) 676-3593,,"Miami, FL 33133",FL,33133.0,http://miamislidingdoorworks.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Transport,New York NY,USA Auto Transport,(646) 798-0883,1650 Grand Concourse,"Bronx, NY 10457",NY,10457.0,http://usaautotransport507760731.localsearch.com,,21 Years,no,,,,,,,50,success,USA,Auto Services
Car Transport,New York NY,All Ways Car Trasnport Service,(908) 977-1086,230 W Jersey St,"Elizabeth, NJ 07202",NJ,7202.0,http://yellowpages.com/elizabeth-nj/mip/all-ways-car-trasnport-service-475203125,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Memphis TN,Auto Club Repair,(901) 881-3054,990 N Germantown Pkwy,"Cordova, TN 38018",TN,38018.0,http://autoclubrepair.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Oil Change,Cleveland OH,NRG Ventures,(440) 777-7623,4083 Shelley Dr,"North Olmsted, OH 44070",OH,44070.0,,,,no,,,,,,,0,error,USA,Auto Services
Towing,Chicago IL,A C Towing,(312) 619-3695,,,,,,,,no,,,,,,,0,error,USA,Auto Services
Auto Parts,Memphis TN,Mid-South Muffler/Automotive,(901) 388-8882,6843 Summer Ave,"Memphis, TN 38134",TN,38134.0,,,(2),no,,,,,,,0,error,USA,Auto Services
Oil Change,Cleveland OH,Lube Stop the Oil Change Experts,(440) 891-2378,201 Front St Ste 104,"Berea, OH 44017",OH,44017.0,,,,no,,,,,,,0,error,USA,Auto Services
Remanufactured Engines,Seattle WA,Paulson Auto Repair,(425) 774-8300,19510 21st Ave W,"Lynnwood, WA 98036",WA,98036.0,,,46 Years,no,,,,,,,0,error,USA,Auto Services
Tire Shops,Cleveland OH,X Press Tire & Auto Service,(866) 491-9119,,,,,http://xpresstireautoserviceoh.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Shops,New York NY,Barrow Auto Repair of New York Inc,(800) 924-6606,144 Barrow St,"New York, NY 10014",NY,10014.0,http://barrowautorepairofnewyorkinc.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Domestic & Foreign Auto Glass,(901) 545-5318,3362 S 3rd St,"Memphis, TN 38109",TN,38109.0,http://domesticforeignautoglasstn.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Towing,Chicago IL,Ashland Automotive,(773) 434-7200,,,,,http://ashlandautomotive.localsearch.com,,45 Years,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Seattle WA,Rudman's Auto Repair,(360) 373-1314,100 Dora Ave,"Bremerton, WA 98312",WA,98312.0,http://yellowpages.com/bremerton-wa/mip/puget-sound-vehicle-maintenance-3169855,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Seattle WA,Alpha Auto Repair,(360) 373-2245,321 S National Ave,"Bremerton, WA 98312",WA,98312.0,http://yellowpages.com/bremerton-wa/mip/puget-sound-vehicle-maintenance-3169855,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Seattle WA,In & Out Auto Service,(509) 894-4960,404 South St,"Port Orchard, WA 98366",WA,98366.0,http://yellowpages.com/port-orchard-wa/mip/c-s-auto-service-462223759,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Seattle WA,Dave & Zane's Auto Works,(206) 463-7207,12814 SW 220th St,"Vashon, WA 98070",WA,98070.0,http://yellowpages.com/vashon-wa/mip/pascal-py-construction-5746716,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Tampa FL,Uni-Select,(813) 623-2891,1201 Old Hopewell Rd,"Tampa, FL 33619",FL,33619.0,http://uniselect475884823.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Cleveland OH,Checker Flag Automotive,(216) 961-6436,8411 Madison Ave,"Cleveland, OH 44102",OH,44102.0,http://checkerflagautomotive.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Transport,New York NY,United Car Transport Service,(718) 924-2296,1515 Southern Blvd,"Bronx, NY 10460",NY,10460.0,http://yellowpages.com/bronx-ny/mip/united-car-transport-service-473015339,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Shops,New York NY,1 Only Saab Towing,(212) 993-1989,235 W 4th St,"New York, NY 10014",NY,10014.0,http://1onlysaabtowing.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Foreign Auto Glass,(901) 545-5321,5169 Wheelis Dr,"Memphis, TN 38117",TN,38117.0,http://yellowpages.com/memphis-tn/mip/foreign-auto-glass-550723155,,,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 682-8818,4681 Summer Ave,"Memphis, TN 38122",TN,38122.0,https://locations.oreillyauto.com/tn/memphis/autoparts-1368.html,,69 Years,no,,,"https://www.facebook.com/336972073014485/reviews/?ref=page_internal, https://www.facebook.com/OreillyAutoParts, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #1368 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 454-5583,3320 Summer Ave,"Memphis, TN 38122",TN,38122.0,https://locations.oreillyauto.com/tn/memphis/autoparts-1026.html,,,no,,,"https://www.facebook.com/OreillyAutoParts, https://www.facebook.com/217915034971765/reviews/?ref=page_internal, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #1026 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Tire Shops,Cleveland OH,Eagle Tires,(216) 226-6666,9019 Lorain Ave,"Cleveland, OH 44102",OH,44102.0,http://eagletires.localsearch.com,,21 Years,no,,,,,,,50,success,USA,Auto Services
Brake Repair,New York NY,Smart Tire N Brakes 24 Plus Service,(718) 940-7064,453 Coney Island Ave,"Brooklyn, NY 11218",NY,11218.0,http://yellowpages.com/brooklyn-ny/mip/smart-tire-n-brakes-24-plus-service-483733481,,,no,,,,,,,50,success,USA,Auto Services
